s1_id,target_id,country,source,v3_rank,v3_score,model_score
S1-102459114,S3-851589809,US,S3,3,0.8619,0.9992
S1-102459114,S2-776052951,US,S2,4,0.8436,0.9997
S1-102459114,S2-229331056,US,S2,5,0.7812,0.9997
S1-102463404,S3-349170798,US,S3,1,1.0000,1.0000
S1-102463404,S3-197786517,US,S3,2,1.0000,0.9992
S1-102463404,S2-686385902,US,S2,3,1.0000,1.0000
S1-102463404,S2-35866071,US,S2,4,1.0000,0.9986
S1-102463404,S2-231829947,US,S2,5,1.0000,0.9993
S1-102488928,S3-180062378,India,S3,1,0.8667,0.4864
S1-102532009,S3-811624182,US,S3,1,0.8798,0.9997
S1-102532009,S2-573919150,US,S2,2,0.8054,0.9986
S1-102602191,S3-844297134,US,S3,1,1.0000,1.0000
S1-102602191,S3-282882313,US,S3,2,1.0000,1.0000
S1-102660717,S3-60958663,India,S3,1,0.8667,0.5917
S1-102660717,S3-477222794,India,S3,2,0.8667,0.6427
S1-102660717,S2-469705938,India,S2,4,0.8667,0.9868
S1-102755020,S3-832375655,India,S3,4,0.7667,0.5621
S1-102755020,S3-633686432,India,S3,5,0.7667,0.9963
S1-102755623,S2-853440077,US,S2,1,1.0000,0.9998
S1-102755623,S3-763695606,US,S3,4,0.7667,0.3091
S1-102756425,S3-731705255,US,S3,1,1.0000,1.0000
S1-102756425,S3-139369691,US,S3,2,1.0000,1.0000
S1-102756425,S2-389909956,US,S2,3,1.0000,0.9996
S1-102756425,S3-376216595,US,S3,4,0.8619,0.9996
S1-102756425,S2-681161311,US,S2,5,0.8619,0.9996
S1-10284455,S2-159674262,India,S2,1,1.0000,1.0000
S1-10284455,S3-819532554,India,S3,3,0.7667,0.5268
S1-10284455,S2-248110251,India,S2,4,0.7667,0.9300
S1-102946976,S3-21716106,US,S3,1,1.0000,1.0000
S1-102946976,S3-176522287,US,S3,2,1.0000,0.9997
S1-102946976,S2-642223749,US,S2,3,1.0000,1.0000
S1-102946976,S3-412473967,US,S3,4,0.9000,0.9990
S1-102946976,S3-893114149,US,S3,5,0.8179,0.9994
S1-102953666,S3-860367368,India,S3,1,1.0000,0.9997
S1-102953666,S3-673243525,India,S3,2,1.0000,1.0000
S1-102953666,S3-112287266,India,S3,3,1.0000,0.9970
S1-102953666,S2-402239333,India,S2,4,1.0000,0.9993
S1-102953666,S3-319400038,India,S3,12,0.6556,0.9999
S1-102954774,S2-349797715,US,S2,1,1.0000,1.0000
S1-103087058,S2-14547230,India,S2,1,1.0000,0.9994
S1-103087058,S3-369144697,India,S3,2,0.9000,0.9559
S1-103087058,S2-1426554,India,S2,3,0.8333,0.9987
S1-103087058,S2-242779053,India,S2,4,0.8018,0.9996
S1-103093522,S3-348673567,India,S3,1,1.0000,0.9999
S1-103093522,S3-184236444,India,S3,2,1.0000,0.9971
S1-103093522,S3-170164156,India,S3,3,1.0000,0.9999
S1-103093522,S2-688546001,India,S2,4,1.0000,1.0000
S1-103093522,S2-347165937,India,S2,5,1.0000,0.9993
S1-103093522,S2-292179475,India,S2,9,0.7250,0.9994
S1-103093522,S2-256119758,India,S2,10,0.5455,0.9561
S1-103096069,S2-974754567,India,S2,1,1.0000,0.9981
S1-103131511,S3-769670156,India,S3,1,0.8667,0.6665
S1-103131511,S3-380756724,India,S3,2,0.8667,0.9825
S1-103258476,S3-949668937,India,S3,1,1.0000,0.9988
S1-103258476,S3-87436460,India,S3,2,1.0000,0.9988
S1-103258476,S2-976808361,India,S2,3,1.0000,0.9997
S1-103510838,S3-68178011,US,S3,1,0.9000,1.0000
S1-103510838,S2-325723793,US,S2,6,0.6795,0.9982
S1-103510838,S3-107462283,US,S3,11,0.6407,0.9979
S1-103517846,S2-536122648,India,S2,1,1.0000,0.9939
S1-103517846,S3-119115915,India,S3,2,0.7667,0.9985
S1-103598483,S2-922797001,India,S2,1,1.0000,0.9999
S1-103598483,S2-191080166,India,S2,2,1.0000,0.9962
S1-103598483,S3-603872668,India,S3,3,0.7667,0.9934
S1-103598483,S2-100365227,India,S2,4,0.7667,0.9981
S1-103598483,S3-877118847,India,S3,6,0.6275,0.9993
S1-103874204,S3-609700496,US,S3,1,1.0000,1.0000
S1-10394120,S2-99283607,US,S2,1,0.7667,0.9784
S1-10394120,S2-576992951,US,S2,2,0.5944,0.8754
S1-103957554,S2-518062555,India,S2,1,1.0000,0.9999
S1-103957554,S3-488658547,India,S3,5,0.9000,0.9996
S1-104043109,S3-570802237,India,S3,1,1.0000,0.9998
S1-104043109,S2-684741952,India,S2,2,0.8952,0.9994
S1-104046627,S3-807615199,India,S3,1,1.0000,0.9996
S1-104046627,S2-450562180,India,S2,2,0.7667,0.6581
S1-104099123,S3-566463855,India,S3,1,0.8667,0.6043
S1-104099123,S2-626380047,India,S2,14,0.7667,0.9399
S1-104215935,S2-339644570,US,S2,3,1.0000,0.9995
S1-104215935,S2-331236265,US,S2,4,1.0000,0.9995
S1-104215935,S3-326587698,US,S3,84,0.7667,0.9796
S1-104251384,S3-671658127,India,S3,1,1.0000,1.0000
S1-104251384,S2-158087214,India,S2,2,1.0000,0.9981
S1-104251384,S2-267049244,India,S2,3,0.8333,0.9872
S1-104283082,S2-843729388,US,S2,1,1.0000,0.9997
S1-104283082,S2-238270322,US,S2,2,0.9198,0.9999
S1-104283082,S3-447457968,US,S3,3,0.9000,0.9999
S1-104283082,S3-251670461,US,S3,24,0.7197,0.9968
S1-104307827,S3-372544144,US,S3,1,0.9067,0.9999
S1-104307827,S3-585157253,US,S3,3,0.8143,0.9987
S1-104447985,S3-492100305,US,S3,1,1.0000,1.0000
S1-104447985,S2-84912591,US,S2,2,0.6923,0.9824
S1-104722086,S2-609056339,India,S2,1,1.0000,1.0000
S1-104722086,S2-345052383,India,S2,2,1.0000,0.9979
S1-104722086,S3-762349518,India,S3,3,0.9000,0.9981
S1-104722086,S3-969046610,India,S3,5,0.7982,1.0000
S1-104822240,S3-519060455,India,S3,1,1.0000,0.9990
S1-104822240,S3-453544208,India,S3,2,1.0000,1.0000
S1-104822240,S2-160226782,India,S2,3,0.6882,0.9986
S1-104858709,S3-649587227,India,S3,1,1.0000,0.9964
S1-105180646,S3-33182738,US,S3,1,0.9000,0.9892
S1-105180646,S3-148951169,US,S3,2,0.9000,0.9997
S1-105211811,S2-436681799,India,S2,1,1.0000,0.9990
S1-105211811,S3-452733732,India,S3,2,0.9500,1.0000
S1-105211811,S3-217127049,India,S3,4,0.6476,0.9992
S1-105238418,S3-999645189,US,S3,1,1.0000,0.9996
S1-105238418,S3-688326209,US,S3,2,1.0000,1.0000
S1-105241970,S3-493861055,US,S3,1,1.0000,1.0000
S1-105241970,S2-755319401,US,S2,2572,0.7333,0.9976
S1-105317471,S2-85497792,US,S2,1,0.8917,0.9995
S1-105317471,S3-186031162,US,S3,2,0.8667,0.9995
S1-10534661,S3-975019899,India,S3,1,0.9000,0.9982
S1-10534661,S3-702038996,India,S3,19,0.7007,0.9980
S1-105355220,S3-370543746,India,S3,1,0.7667,0.9993
S1-105355220,S2-651757183,India,S2,5,0.6296,0.9986
S1-105417727,S3-85304528,India,S3,2,0.7667,0.4902
S1-105417727,S3-494487189,India,S3,5,0.7667,0.4902
S1-105417727,S2-325406524,India,S2,16,0.7667,0.6329
S1-105472965,S2-119432295,India,S2,1,0.8396,0.9999
S1-105472965,S2-462808751,India,S2,2,0.7847,0.9997
S1-105500921,S3-194606196,US,S3,1,0.9111,0.9994
S1-105500921,S2-974646796,US,S2,2,0.7667,0.9967
S1-105500921,S2-554093116,US,S2,4,0.7667,0.8440
S1-105500921,S3-248296345,US,S3,6,0.7624,0.9998
S1-10556800,S3-858288793,India,S3,1,0.8667,0.9994
S1-10556800,S2-913316031,India,S2,2,0.8667,0.9999
S1-105593862,S3-960940930,India,S3,1,1.0000,0.9997
S1-105593862,S3-109713298,India,S3,2,1.0000,1.0000
S1-105593862,S3-969624479,India,S3,12,0.6652,0.9986
S1-105664208,S3-822286268,US,S3,1,1.0000,0.9998
S1-105664208,S3-127613650,US,S3,2,1.0000,1.0000
S1-105664208,S2-694230780,US,S2,3,0.9000,0.9907
S1-105721210,S3-302330280,US,S3,1,1.0000,1.0000
S1-105721210,S3-749723961,US,S3,2,0.7333,0.9997
S1-105721210,S2-304341181,US,S2,6,0.5377,0.9815
S1-10572738,S3-985450023,India,S3,1,1.0000,0.9967
S1-10572738,S3-649498045,India,S3,2,1.0000,0.9979
S1-10572738,S2-778520066,India,S2,3,1.0000,0.9986
S1-105735152,S2-247517102,India,S2,1,1.0000,0.9992
S1-105735152,S2-212617788,India,S2,2,1.0000,1.0000
S1-105735152,S3-262028196,India,S3,4,0.7246,0.9930
S1-105735152,S3-809744941,India,S3,6,0.6146,0.9850
S1-105755934,S3-799504354,India,S3,1,1.0000,0.9990
S1-105755934,S2-928809331,India,S2,2,1.0000,0.9998
S1-105793145,S3-977937403,US,S3,1,0.9000,1.0000
S1-105793145,S2-241819699,US,S2,2092,0.7667,0.2384
S1-105844178,S2-887305420,US,S2,1,1.0000,1.0000
S1-105844178,S3-270936889,US,S3,2,0.8440,0.8852
S1-105864899,S3-190956781,US,S3,1,1.0000,0.9998
S1-105864899,S2-466607754,US,S2,2,1.0000,1.0000
S1-105864899,S2-137876657,US,S2,3,1.0000,0.9997
S1-105864899,S3-882871175,US,S3,4,0.7061,0.9999
S1-105886196,S2-781446352,US,S2,1,0.7802,0.9959
S1-105886196,S3-367383703,US,S3,2,0.7556,0.9975
S1-105910064,S3-216231810,India,S3,1,1.0000,0.9989
S1-105910064,S2-901804021,India,S2,2,1.0000,0.9993
S1-105910064,S3-570243743,India,S3,3,0.7667,0.9991
S1-105926894,S3-116308003,India,S3,1,1.0000,1.0000
S1-105926894,S2-926803270,India,S2,2,0.9000,0.9999
S1-105926894,S3-348647018,India,S3,3,0.8048,0.9999
S1-105926894,S2-319220235,India,S2,26,0.6877,0.9636
S1-105961172,S3-548458169,India,S3,1,1.0000,0.9948
S1-106042341,S3-47821817,US,S3,1,1.0000,0.9999
S1-106042341,S2-541361934,US,S2,2,0.9000,1.0000
S1-106042341,S3-568201520,US,S3,3,0.7667,0.9982
S1-106042341,S2-382762621,US,S2,4,0.7667,0.3002
S1-106044690,S3-108187572,India,S3,1,1.0000,0.9999
S1-106044690,S2-860983981,India,S2,2,1.0000,0.9987
S1-106044690,S2-334776312,India,S2,3,1.0000,0.9987
S1-106185963,S2-737532914,US,S2,1,1.0000,1.0000
S1-106185963,S2-714709317,US,S2,2,1.0000,0.9999
S1-106185963,S2-201430529,US,S2,4,0.6457,0.9987
S1-106198648,S2-300826291,US,S2,1,1.0000,0.9996
S1-106286897,S3-936351461,India,S3,1,1.0000,0.9988
S1-10632750,S3-90476230,India,S3,1,0.8667,0.9994
S1-10632750,S3-572068871,India,S3,2,0.8667,0.9861
S1-10632889,S2-925197089,US,S2,1,1.0000,1.0000
S1-10632889,S2-722373992,US,S2,2,1.0000,0.9997
S1-10632889,S3-143278119,US,S3,53,0.7667,0.3498
S1-10632889,S2-232033601,US,S2,122,0.6016,0.9918
S1-106339722,S3-974896288,India,S3,1,0.8667,0.9996
S1-106339722,S2-920053998,India,S2,4,0.7667,0.9990
S1-106339722,S2-615149521,India,S2,5,0.7667,0.7117
S1-106391908,S3-983942101,US,S3,1,1.0000,1.0000
S1-106391908,S3-477859264,US,S3,2,1.0000,1.0000
S1-106391908,S3-241221926,US,S3,3,1.0000,1.0000
S1-106391908,S2-88164921,US,S2,4,1.0000,1.0000
S1-106391908,S2-456521640,US,S2,5,1.0000,0.9998
S1-106460867,S2-405911248,US,S2,1,1.0000,1.0000
S1-106460867,S3-917800318,US,S3,2,0.8480,0.9996
S1-106485740,S3-474763066,India,S3,1,1.0000,0.9988
S1-106485740,S3-297337616,India,S3,2,1.0000,0.9997
S1-106485740,S3-625318659,India,S3,3,0.7738,0.9416
S1-106485740,S2-592165437,India,S2,4,0.7467,0.9988
S1-106506077,S3-675435305,US,S3,21,0.7667,0.9996
S1-106610435,S3-322860622,US,S3,1,1.0000,1.0000
S1-106610435,S2-80327019,US,S2,3,0.7667,0.9999
S1-106610435,S3-641650401,US,S3,4,0.5333,0.9758
S1-106657482,S3-300462074,India,S3,1,0.9000,0.9870
S1-106657482,S2-733054632,India,S2,9,0.8255,0.9966
S1-106732634,S3-150947106,US,S3,1,1.0000,0.9999
S1-106732634,S2-483976508,US,S2,2,1.0000,1.0000
S1-106732634,S3-628066327,US,S3,3,0.7822,0.9992
S1-106771351,S2-255062662,US,S2,1,1.0000,0.9996
S1-106771351,S3-339124,US,S3,2,0.8281,0.9982
S1-106771351,S3-755044599,US,S3,213,0.7576,0.9985
S1-106821921,S3-462742377,US,S3,1,1.0000,1.0000
S1-106821921,S2-867661945,US,S2,2,1.0000,1.0000
S1-106821921,S2-424785527,US,S2,3,1.0000,1.0000
S1-106880469,S3-768353541,US,S3,1,1.0000,0.9995
S1-106880469,S2-613245248,US,S2,2,1.0000,1.0000
S1-106880469,S3-939942342,US,S3,5,0.7970,0.9979
S1-106880469,S3-4061121,US,S3,322,0.7667,0.9330
S1-106900590,S2-737569025,India,S2,1,0.7923,0.9998
S1-106900590,S3-828684134,India,S3,15,0.7667,0.6995
S1-106943379,S3-436752952,US,S3,1,0.9000,0.9917
S1-106943379,S3-379731384,US,S3,2,0.7823,0.9990
S1-107051258,S3-533575701,India,S3,1,0.7667,1.0000
S1-107092151,S3-695652111,US,S3,1,1.0000,1.0000
S1-107092151,S2-233917816,US,S2,2,0.9167,0.9993
S1-107092151,S2-130784040,US,S2,3,0.9167,0.9997
S1-107092151,S3-988021327,US,S3,4,0.8795,0.9994
S1-107092151,S3-221133392,US,S3,5,0.8255,0.9983
S1-107092151,S3-740963824,US,S3,6,0.8200,0.9999
S1-107092151,S3-216342485,US,S3,7,0.7601,0.9989
S1-107130711,S3-162711848,India,S3,1,1.0000,0.9999
S1-107130711,S2-412052272,India,S2,17,0.7363,0.9916
S1-107130711,S3-558755717,India,S3,18,0.6710,0.9784
S1-107156382,S2-464640005,US,S2,1,0.8163,0.9987
S1-10716377,S3-279007083,US,S3,150,0.7580,0.9986
S1-10716377,S2-442263011,US,S2,151,0.7565,0.9997
S1-107187441,S3-440962185,US,S3,1,1.0000,0.9991
S1-107187441,S2-993660448,US,S2,2,1.0000,0.9996
S1-107187441,S2-207872981,US,S2,3,0.8037,0.9998
S1-107213639,S2-476801348,India,S2,45,0.7667,0.4727
S1-107244914,S3-406372236,US,S3,1,1.0000,0.9999
S1-107244914,S3-193921116,US,S3,2,1.0000,1.0000
S1-107244914,S2-33525519,US,S2,3,1.0000,0.9994
S1-107244914,S2-108713713,US,S2,4,0.8111,0.9956
S1-107542281,S3-935379766,US,S3,1,1.0000,0.9998
S1-107597023,S2-484345989,India,S2,4,0.7667,0.7472
S1-107597023,S3-410817672,India,S3,7,0.7164,0.9998
S1-107597023,S3-533445640,India,S3,51,0.5414,0.7414
S1-107599339,S3-262768517,India,S3,1,1.0000,1.0000
S1-107667521,S2-430303238,US,S2,10,0.4914,0.9407
S1-107679526,S3-643389391,US,S3,2,0.7667,0.9738
S1-107679526,S2-828214508,US,S2,5,0.7667,0.5617
S1-107679526,S2-24322354,US,S2,10,0.7667,0.9984
S1-107704366,S3-145605916,US,S3,1,1.0000,0.9998
S1-107704366,S2-606737425,US,S2,2,1.0000,1.0000
S1-107704366,S2-232919120,US,S2,3,1.0000,1.0000
S1-107751986,S3-842024626,India,S3,1,1.0000,1.0000
S1-107751986,S2-623349801,India,S2,2,1.0000,0.9998
S1-107751986,S3-757723247,India,S3,230,0.5833,0.9951
S1-107807486,S3-663807296,India,S3,1,0.7667,0.5384
S1-107891475,S3-991308218,India,S3,44,0.6706,1.0000
S1-108002948,S2-122133662,India,S2,1,0.9067,0.9999
S1-108002948,S3-872814718,India,S3,3,0.8667,0.7549
S1-108002948,S3-454976672,India,S3,5,0.7733,0.8924
S1-108002948,S3-77354761,India,S3,6,0.7667,0.9957
S1-108002948,S2-227766681,India,S2,10,0.7667,0.8421
S1-108133931,S3-863875799,India,S3,1,1.0000,0.9996
S1-108133931,S3-380092759,India,S3,2,1.0000,0.9995
S1-108133931,S3-886299296,India,S3,3,0.9000,0.9998
S1-108133931,S2-791403300,India,S2,4,0.8527,0.9998
S1-108133931,S3-454040896,India,S3,21,0.6205,0.8497
S1-108184689,S3-832086310,US,S3,1,0.9667,0.9996
S1-108184689,S3-474319692,US,S3,2,0.8228,0.9991
S1-108184689,S2-601891084,US,S2,3,0.7910,0.9935
S1-108184689,S3-417703609,US,S3,4,0.7738,0.9979
S1-108184689,S2-479826936,US,S2,9,0.7131,0.9968
S1-108186121,S3-774142692,US,S3,1,0.9090,0.9997
S1-108186121,S3-502493366,US,S3,2,0.9000,0.9999
S1-108186121,S3-459787762,US,S3,3,0.8589,0.9994
S1-108186121,S3-31096060,US,S3,4,0.8256,0.9981
S1-108186121,S2-137901799,US,S2,6,0.7256,0.9955
S1-1081910,S2-338065394,US,S2,1,1.0000,0.9997
S1-1081910,S3-166509205,US,S3,4,0.7321,0.9987
S1-108224089,S3-987952467,US,S3,1,0.9000,0.9999
S1-108224089,S2-742040132,US,S2,2,0.9000,0.9935
S1-108224089,S3-843818813,US,S3,5,0.7583,0.9629
S1-108250409,S2-365845839,India,S2,1,1.0000,0.9998
S1-108250409,S2-346128181,India,S2,2,1.0000,0.9993
S1-108250409,S3-382018045,India,S3,3,0.7889,0.9971
S1-108317473,S2-926787294,US,S2,1,1.0000,0.9997
S1-108317473,S2-37119177,US,S2,2,1.0000,1.0000
S1-108338527,S3-703077669,US,S3,1,1.0000,0.9998
S1-108338527,S2-850699683,US,S2,2,1.0000,1.0000
S1-108461443,S3-631465714,US,S3,1,1.0000,1.0000
S1-108461443,S3-419798748,US,S3,5,0.7667,0.8019
S1-108542308,S3-983695896,US,S3,1,1.0000,1.0000
S1-108542308,S3-93383012,US,S3,2,1.0000,0.9994
S1-108542308,S3-85123583,US,S3,13,0.7667,0.5275
S1-108593437,S3-241678666,India,S3,1,1.0000,1.0000
S1-108593437,S3-359591931,India,S3,364,0.5476,0.9962
S1-108681071,S3-318265993,India,S3,1,1.0000,1.0000
S1-108681071,S3-697562801,India,S3,2,0.7377,1.0000
S1-108681071,S3-814555,India,S3,3,0.7083,0.9980
S1-108682466,S3-505788893,US,S3,2,1.0000,0.9996
S1-108682466,S3-574200288,US,S3,2591,0.7312,0.9997
S1-10871097,S3-757951197,US,S3,1,1.0000,1.0000
S1-10871097,S3-671974833,US,S3,2,1.0000,0.9997
S1-10881899,S2-803699439,India,S2,4,0.9000,0.9610
S1-10881899,S2-433405121,India,S2,1117,0.6275,0.8757
S1-10881899,S3-817543326,India,S3,1118,0.6256,0.9963
S1-108916740,S2-900975485,US,S2,3,0.8667,0.9033
S1-108916740,S3-607804176,US,S3,5,0.7795,0.9999
S1-108916740,S3-615194774,US,S3,71,0.7396,0.9815
S1-108952823,S3-282354958,US,S3,1,1.0000,1.0000
S1-108952823,S2-594349190,US,S2,2,1.0000,0.9997
S1-108952823,S2-466453788,US,S2,3,0.4946,0.9877
S1-10898514,S3-314825474,US,S3,1,0.8589,0.9998
S1-10898514,S2-276145594,US,S2,2,0.7692,0.9971
S1-108993484,S2-814898018,US,S2,1,0.6697,0.9984
S1-109011304,S2-450952383,US,S2,1,1.0000,1.0000
S1-109011304,S3-266147185,US,S3,2,0.7667,0.3026
S1-109030746,S3-354533664,US,S3,1,1.0000,1.0000
S1-109030746,S2-386759703,US,S2,2,1.0000,0.9997
S1-109030746,S3-309420468,US,S3,4,0.7471,0.9975
S1-109030746,S2-668479219,US,S2,5,0.6667,0.9989
S1-109154060,S3-882348288,US,S3,1,1.0000,0.9996
S1-109154060,S3-860756585,US,S3,2,1.0000,1.0000
S1-109154060,S3-663075139,US,S3,3,1.0000,1.0000
S1-109154060,S2-301821191,US,S2,4,0.7667,0.9999
S1-109154060,S3-83847721,US,S3,7,0.7275,0.9999
S1-109160539,S3-767396505,US,S3,1,1.0000,1.0000
S1-109233892,S3-33530590,US,S3,1,1.0000,0.9998
S1-109233892,S3-276136216,US,S3,2,1.0000,0.9997
S1-109233892,S2-119331876,US,S2,3,0.7667,0.3171
S1-109244438,S3-250721659,US,S3,4,0.7444,0.9989
S1-109258380,S2-461546665,US,S2,1,0.8952,0.9996
S1-109258380,S2-3385858,US,S2,2,0.8544,0.9990
S1-109258380,S3-305627000,US,S3,3,0.8037,0.9951
S1-109258380,S3-968312185,US,S3,4,0.7714,0.9982
S1-109375972,S3-795030749,US,S3,1,0.8544,0.9990
S1-109375972,S3-803659387,US,S3,2,0.8436,0.9993
S1-109375972,S2-940266848,US,S2,4,0.7667,0.9989
S1-109426787,S2-485482724,US,S2,1,1.0000,0.9992
S1-109426787,S2-865492223,US,S2,11,0.7667,0.5748
S1-109499073,S3-243250449,India,S3,1,1.0000,1.0000
S1-109499073,S2-860396468,India,S2,2,1.0000,0.9998
S1-109499073,S2-578241367,India,S2,11,0.7788,0.9997
S1-109533093,S3-565137765,US,S3,1,1.0000,1.0000
