s1_id,target_id,country,source,model_score,category,s1_name,target_name,s1_addr,target_addr
S1-286977107,S3-910045589,India,S3,0.9943,address_confusion,Future Institute of Technology LLP,Future Institute of Group LLP Service,"4C Shanti Elegance, 16 And 17 Amar Regency Layout, Bangalore North, Bangalore, Karnataka","H.no 7C Shanti Elegance, 16 And 17 Amar Regency Layout, Bangalore North, Bengaluru, ಕರ್ನಾಟಕ"
S1-164744894,S3-452487960,US,S3,0.9813,same_chain_different_branch,Binet PLLC,Binet LLC,"5943 J, Unit 50, Moses Lake, WA","5952b J, # 50, Moses Lake, Washington"
S1-184028330,S2-383408374,India,S2,0.9863,partial_name_overlap,Indore Shipping Pvt. Ltd.,Private Indore Edge Limited,"Flat No.102, A Block Parl Galaxy Bicholi Mardana, Indore, Madhya Pradesh","102, INDORE, Madhya Pradesh"
S1-276808655,S2-474911073,India,S2,0.9804,address_confusion,Krishna Infotech Private Limited,Krishna Insftehch Limited,"Salarpuria Magnificia, Tin Factory 78 Old Madras, Bangalore North, Bangalore, Karnataka","H.NO 5 SALARPURIA MAGNIFICIA, TIN FACTORY 78 OLD MADRAS, BANGALORE NORTH, Karnataka"
S1-112170911,S3-950252454,India,S3,0.9783,partial_name_overlap,Innovative Impex Private Limited,... Innovative Exports-Private Limited,"G. No. 914/1, Mal Wadi, Ambegaon, Ranjani, Junnar, Pune, Maharashtra","Flat No 1, Pune, MH"
S1-188112618,S3-56061885,India,S3,0.9759,address_confusion,Krishna Technology Private Limited,Krishna-Technology Automobiles,"Vaishnavis Cynosure, 2-48/5/6, 8Th Floor, Gachibowli Road, Opp. Rttc, Telecom Nagar Extension, Seri Lingampally, K.V.Rangareddy, Telangana","No 66- Vaishnavis Cynosure, 2-48/5/6, 8Th Floor, Gachibowli Road, Opp. Rttc, Telecom Nagar Extension, K.v.rangareddy, Andhra Pradesh"
S1-17983636,S3-528336218,India,S3,0.9696,partial_name_overlap,Life Smart Developers Private Limited,Life Developers Pvt,"33 Kedar Nath Singha Roadariadaha, Kolkata, Howrah, West Bengal","Hn 31 33/8, Howrah, WB"
S1-130576196,S3-96137292,US,S3,0.9942,partial_name_overlap,"Watts, Wall & Anderson Nuclear LLC","Parker, Wall Anderson Nuclear LLC (Center)","1304 Nightingale Road, Gastonia, NC","001304 Nightingale Rd, Gastonia, North Carolina"
S1-140602121,S2-916181736,India,S2,0.9979,same_chain_different_branch,Ram Network Ltd,Ram Network Pvt Ltd,"3Rd T 14 Balaji Center, Opp Gurukul Drive In Road, Ahmadabad City, Ahmedabad, Gujarat","Gujarat, 15RD T 14 BALAJI CENTER, OPP GURUKUL DRIVE IN ROAD, AHMADABAD CITY"
S1-315450525,S2-760447704,India,S2,0.9905,address_confusion,Kumar (India) Agro Private Limited,Kumar (dfa) Agro Limited,"C/O P N Chabra, E-175, Transport Nagar, Lucknow, Uttar Pradesh","NO 61 C/O P N CHABRA, E-175, TRANSPORT NAGAR, LUCKNOW, <NULL>, Uttar Pradesh"
S1-103957554,S2-687586723,India,S2,0.9965,same_chain_different_branch,New Delhi Technologies Private Limited,New Delhi Limited Private Technologies,"Mcd-1146, Gali-11, Govindpuri, New Delhi, South Delhi, Delhi","B 11 F/F, NEW DELHI, दिल्ली"
S1-129805269,S2-723154704,India,S2,0.9527,address_confusion,Red Logistics,Red Logistics Restaurant,"C/O Shri Subash Chand Kabra, 85 Ganesh Nagar, Jhotwara, Jaipur, Jaipur, Rajasthan","NO 7 C/O SHRI SUBASH CHAND KABRA, 85 GANESH NAGAR, JHOTWARA, JAIPUR, JAIPUR, Rajasthan"
S1-221950529,S2-710019722,India,S2,0.9978,same_chain_different_branch,Joe & Co,& Joe Co Holdings,"W14, Sector 11, Noida, Gautam Buddha Nagar, Uttar Pradesh","W17, SECTOR 11, NOIDA, GAUTAM BUDDHA NAGAR, उत्तर प्रदेश"
S1-265161895,S3-273728561,India,S3,0.9628,partial_name_overlap,Jain Products Private Limited,Jain International Private Límited,"Shop No.3, Shankar Appts., Bldg. No.88A, Sec 29, Agroli Gaon, Nr.Parsik Janata Sahakari B, Ank Ltd., Cbd Belapur, Mumbai City, Maharashtra","B-##3, Mumbai City, MH"
S1-322665095,S3-319864902,India,S3,0.9690,partial_name_overlap,Dhanraj Vidyalaya LLP,LLP Dhanraj Vidyalaya Overseas,"21-62/5/A/1, Plot No: 49, Siddanthi Road Brindavan Colony, Shamshabad, Kv Rangare, Ddy, Hyderabad, Rangareddy, Telangana","21-62/5/A/12, Hyderabad, Rangareddy, TG"
S1-186788298,S3-429037458,India,S3,0.9737,partial_name_overlap,Ahmedabad Grains LLP,AHMEDABAD SOLUTIONS CENTER,"37, S.No-213 Paiki, Nirav Bunglows, Nr.Krishnanagar, I.T.I. Road, Kubernagar, Ahmedabad, Gujarat","B. No. 37, Ahmedabad, GJ"
S1-174524586,S3-873859027,India,S3,0.9903,partial_name_overlap,Sugal Charitable Trust Ltd,Sundeep  Charitable Trust,"48, First Floor, Community Centre, New Friends Colony, New Delhi, South Delhi, Delhi","New Delhi, B-48, DL"
S1-155949279,S3-114703658,India,S3,0.9634,generic_name_collision,Jk Shoe Limited,Jk  Shoe Limited,"2004 Sky Walk Tower Chs, Malad West, Tank Lane Nr. Suran Hosp, Maharashtra, Mumbai",
S1-106351499,S2-645628176,India,S2,0.9646,partial_name_overlap,Kolkata Chain Private Limited,Pvt Kolkata Homes Ltd,"67 B Netaji Subhas Roadroom No 22, Kolkata, Calcutta, West Bengal","22, HOWRAH, KOLKATA, West Bengal"
S1-130795261,S3-299128784,India,S3,0.9556,same_chain_different_branch,Moon Infotech Group,Moon Infotech Group Pvt Ltd,"Nanded, 1-20-116, Town Market, Maharashtra, Aurangabad","1-20-13, Town Market, Aurangabad, Nanded, MH"
S1-10534661,S3-517480090,India,S3,0.9525,partial_name_overlap,Blue Nursing Home,Blue Private Limited Center,"Madhya Pradesh, Indore, Race Course Road, 404, Princess Empire, 12","5/12, Indore, <NULL>, MP"
S1-31159774,S3-358705304,India,S3,0.9907,same_chain_different_branch,Sun Healthcare Limited,Sun Healthcare LLP,"House No. C-12, State Bank Colony, Gayatripuram, Kursi Road, Lucknow, Uttar Pradesh","No: 12/245B, Malappuram, Malapuram, KL"
S1-235825895,S3-864015849,India,S3,0.9726,partial_name_overlap,Unique Silk (India) Pvt. Ltd.,Unique Baba Limited Center,"Abbaiah Reddy Lyt, Kaggadasapura, Bangalore North, No. 4, Karnataka, Bangalore","Gf - 4, Bangalore, ಕರ್ನಾಟಕ"
S1-122486581,S3-867791791,India,S3,0.9916,same_chain_different_branch,Green Brothers Private Limited,Green Brothers Limited Center,"Ea-54 Inderpuri, New Delhi, South West Delhi, Delhi","North Delhi, West Vinod Nagar Near Ambedkar Park, दिल्ली, New Delhi, Plot No. E-54 A"
S1-238201040,S2-764008338,India,S2,0.9504,partial_name_overlap,Digital Foods Private Limited,DIGITAL MOTORS PRIVATE LIMITED SERVICES,"5/1/1 Saeed Nagar, Hardopatti Suraj Road, Rampur, Uttar Pradesh","H.NO 5/1/2 SAEED NAGAR, HARDOPATTI SURAJ ROAD, RAMPUR, उत्तर प्रदेश"
S1-166493658,S3-641556416,India,S3,0.9610,same_chain_different_branch,Properties Blue Vyapar Pvt Ltd,Pvt Properties Blue Vyapar Industries (Ltd),"#12-13-73, Flat No. 202, Redwood Residency Street No.05, Tarnaka, Hyderabad, Telangana","#12-13-78, Hyderabad, TG"
S1-166486726,S3-245989839,India,S3,0.9975,same_chain_different_branch,Inter & Co,Inter International Limited [Services],"3 And 3A Old Plot No 6 And 7 Fourth Floor Veer Savarkar Block Shakarpur, Delhi, East Delhi, Delhi","No-3/6, Coimbatore, TN"
S1-200574297,S2-111853907,India,S2,0.9884,partial_name_overlap,Services Shree Liquids Pvt Ltd,-- Shree Builders Private,"No.20, Old No.18, Vijayalakshmi Street Mahalingapuram, Chennai, Tamil Nadu","##18, MADRAS, Tamil Nadu"
S1-163233890,S3-421131434,India,S3,0.9634,generic_name_collision,Sree Marketing Private Limited,Sree-Marketing Private Limited,"Bihar, People'S Co-Operative Colony Near Old Pani Tanki, Ca 62, Patna, Kankarbagh",
S1-302305692,S2-113265582,India,S2,0.9868,partial_name_overlap,New Delhi Green,New Delhi Technologies [Ltd],"1A Ist Floorsagar Apartments 6 Tilak Marg, New Delhi, Central Delhi, Delhi","Delhi, FLAT NO H, SAGAR APARTMENT, ##6, TILAK MARG, NEW DELHI"
S1-272226584,S2-484895730,India,S2,0.9671,partial_name_overlap,Bangalore South Resorts Limited,Limited Bangalore India Private,"No.68 Avani Sringerinagar, 8 Cross Nayanappana Halli, Bangalore South, Bangalore, Karnataka","NO.26-68, BANGALORE, Karnataka"
S1-129388188,S2-807186053,India,S2,0.9711,partial_name_overlap,Delhi Corner Private Limited,-- delhi traders private limited,"Plot No 8 Block No 8 Db Gupta Road Paharganj, Delhi, Central Delhi, Delhi","CB3/2/8, DELHI"
S1-229349033,S3-158136666,India,S3,0.9921,address_confusion,One Good Industries Limited,One-Good Limited Automobiles Industries,"D No:3/218D, Kattinayuana, Pally, Dhandekuppam, Krishnagiri, Krishnagiri, Dharmapuri, Tamil Nadu","D No:3/221d, Kattinayuana, Pally, Dhandekuppam, Krishnagiri, Krishnagiri, Dharmapuri, TN"
S1-177546678,S3-34764673,India,S3,0.9493,partial_name_overlap,Mumbai Global Ltd,Mumbai Connect Group Pvt Ltd,"B/305, Vaibhav Paradise, Aaram Society Road, Mumbai, Maharashtra","Mumbai, A-305, Mumbai, MH"
S1-130353475,S3-100753349,India,S3,0.9894,address_confusion,New Delhi Filter Pvt Ltd,New Delhi Fílter LLP,"Flat No. 146, Pocket 7, Sector 2, Rohini, New Delhi, North West, Delhi","#148., Pocket 7, Sector 2, Rohini, North West, New Delhi, DL"
S1-197142017,S3-850691279,India,S3,0.9962,same_chain_different_branch,Dream Business Private Limited,DREAM BUSINESS PRIVATE LIMITED,"H No.176/1-5-164, First Floor, Pension Line Ferozguda, Secunderabad, Hyderabad, Telangana","5-4-22/B, Hyderabad, TG"
S1-113356121,S3-399245664,India,S3,0.9936,address_confusion,Drs Buildcon Private Limited,drs buildcon infratech private limited,"5Th Floor, 510  511, Wast Gate, D- Block, Nr. Ymca Club, S.G.Highway, Makarba, Ahmedabad, Gujarat","6Th Floor, 510  511, Wast Gate, D- Block, Nr. Ymca Club, S.g.highway, Makarba, Ahmedabad, GJ"
S1-210535518,S3-260972330,India,S3,0.9918,partial_name_overlap,Gold Logistics Limited,Gold  &,"J 38/B, First Floor, Near Dda Market, New Delhi, West Delhi, Delhi","Delhi, DL, P-37/38, New Delhi"
S1-300202200,S3-183128597,India,S3,0.9603,partial_name_overlap,Sabar Consultants,Consultants Star Producers,"Iind Floor, Apollo House, 82/84, Bombay Samachar Marg, Fort, Mumbai, Maharashtra, Mumbai City, Office No. 10","Office No. 10, Indore, MP"
S1-1401175,S3-88130831,India,S3,0.9852,partial_name_overlap,Super Consulting Private Limited,Super Private Limited Service,"Flat-1 A, 153, N.S.C Bose Road, Kolkata, Kolkata, Howrah, West Bengal","1, Kolkata, WB"
S1-323553135,S2-319109796,India,S2,0.9583,partial_name_overlap,Big Energy Private Limited,ఏస్ Classic Energy ప్రైవేట్ లిమిటెడ్,"8.2.120/115/B/5, 6, 2Nd Floor, Bbr Forum Road No. 2, Banjara Hills, Sha, Ikpet, Hyderabad, Telangana","8-2-293/A/1108/1B, HYDERABAD, Telangana"
S1-130920105,S3-19478658,India,S3,0.9511,partial_name_overlap,Arsh Brothers Limited,ajanta & brothers private [limited],"1/45 1St Floor Azadgarh, Kolkata, Howrah, West Bengal","WB, Kolkata, Howrah, 1"
S1-328273177,S3-809620840,India,S3,0.9618,partial_name_overlap,Black Management Private Limited,Black Públic Limited Service,"Flat No. C-6/1/3:2, Varsha Apartment Sector-6, Cbd Belapur, Navi Mumbai, Maharashtra","3, Mumbai, MH"
S1-115697800,S3-310889208,US,S3,0.9835,same_chain_different_branch,"Schmidt, Hauff & Jaquith Nova Inc","schmidt, hauff & jaquith nova llc","61-57 80 Street, Middle Village, NY","61-68 80 St, Middle Village, New York"
S1-328994959,S3-686976815,India,S3,0.9945,partial_name_overlap,New Trading Private Limited,Private New Cloud Delhi Limited,"New Delhi, West Delhi, 19, Ground Floor A 11, Block Wz, Sudarshan Park, Delhi","Shop No.11, New Delhi, DL"
S1-173326643,S2-677664751,US,S2,0.9815,same_chain_different_branch,Vanguard Platinum First Inc,vanguard platinum first llc,"135-19 118 Street, South Ozone Park, NY","135-30. 118 ST, SOUTH OZONE PARK, NY"
S1-149125958,S3-542968007,India,S3,0.9674,same_chain_different_branch,Southern Solutions Private Limited,Southern International,"No 247/1, Nageshwara Road, Vanagaram Road, Ambattur, Ambattur, Tiruvallur, Tamil Nadu","No. 1 / 1, Nethaji Nagar, Villivakkam, Chennai, Tamil Nadu"
S1-138340708,S2-974097199,India,S2,0.9971,partial_name_overlap,Surya Properties Private Limited,सनराइज Properties प्राइवेट लिमिटेड,"Okas Residency, Sector-G, Pocket-5, Sushant Golfcity, Lucknow, Uttar Pradesh","5/86, LUCKNOW, Uttar Pradesh"
S1-318239332,S2-123963598,India,S2,0.9938,same_chain_different_branch,Noida Solutions,Noida India,"Uttar Pradesh, Noida, Noida Gautam Buddh Nagar, Gautam Buddha Nagar, D 70 2Nd Fioor Sector L0","70, MATRIX TOWER, SECTOR-132, NOIDA, Uttar Pradesh"
S1-157760058,S3-146755273,India,S3,0.9806,partial_name_overlap,Mumbai Sales Private Limited,Mumbai Private Limited Center,"1, Navnitvihar Mgmkt Compd, Navnit Ngr Ghatkopar (E), Mumbai, Maharashtra","As 1, Mumbai, MH"
S1-149258857,S2-809741829,US,S2,0.9824,same_chain_different_branch,Surgical Health Corp,Surgical Health-Inc,"105 Chaseford Court, Holly Springs, NC","105 FRANKLIN COURT, LEESBURG, VA"
S1-129056975,S3-731185441,India,S3,0.9835,address_confusion,XTH Sales LLP,XTH Sales Public Limited,"Fno201, 7-1-621/552/2, 47/A Mig, Srishti Homes, Ameerpet, Hyderabad, Telangana","TG, Hyderabad, 7-1-621/552/2, 47/A Mig, Srishti Homes, Ameerpet, Fno205"
S1-196185764,S3-796523973,India,S3,0.9688,partial_name_overlap,Jain Systems Limited,Jain ಹಾಸ್ಪಿಟಾಲಿಟಿ Private Limited,"1 1St Floor, Sharadh, Suprabhat, 3Rd Cross, Bangalore North, Bangalore, Karnataka","1-882, Bangalore, KA"
S1-201982246,S2-308328105,India,S2,0.9908,partial_name_overlap,East Marketing,Eastern Marketing Private,"Chennai, Ekkattuthangal, Tamil Nadu, New No.4 Old No.6 1St Cross Street Balaji Nagar, Chennai","#6 , ANNA STREET, CHENNAI, Tamil Nadu"
S1-277187454,S3-550052523,India,S3,0.9752,partial_name_overlap,Kolkata Experts Pvt Ltd,Kolkata Management Pvt  Ltd,"Howrah, British Indian Street 4Th Floor, Room No-405, Kolkata, West Bengal, Kolkata, 1","1, Kolkata, Howrah, WB"
S1-106351499,S3-577026099,India,S3,0.9642,partial_name_overlap,Kolkata Chain Private Limited,Kolkata Sales Limited Center,"67 B Netaji Subhas Roadroom No 22, Kolkata, Calcutta, West Bengal","Kolkata, 67, পশ্চিমবঙ্গ"
S1-242433296,S3-417647819,US,S3,0.9978,partial_name_overlap,Delosreyes Equity Partners Inc,DELOSREYES EQUITY PARTNERS PARTNERS,"18 Lillian Road, Unit 1, Weymouth, MA","22D Lillian Road, # 1, Weymouth, Massachusetts"
S1-196070780,S3-845019023,India,S3,0.9511,address_confusion,Sarasan Foundation Limited,Sarasanyn Foundation Ltd,"6-4-21/3, Nellore, Nkr Buiding, Old Kalahasti Road, Shop 1, Naidupeta, Andhra Pradesh","ఆంధ్రప్రదేశ్, Nellore, Nkr Buiding, Old Kalahasti Road, Shop 1, 6-4-21/3"
S1-31833077,S2-177459588,India,S2,0.9611,address_confusion,Aarvam Ship LLP,Aarvamyn  Ship LLP,"E-20, Basement, South Extension I, New Delhi, South Delhi, Delhi","H.NO 131 E-20, BASEMENT, SOUTH EXTENSION I, NEW DELHI, दिल्ली"
S1-130353475,S3-940031850,India,S3,0.9795,partial_name_overlap,New Delhi Filter Pvt Ltd,New Delhi Technology Private Ltd,"Flat No. 146, Pocket 7, Sector 2, Rohini, New Delhi, North West, Delhi","J - 2-7, South Delhi, DL"
S1-237311261,S3-638011801,India,S3,0.9543,partial_name_overlap,Consultants Srisai Technology Pvt. Ltd.,Sri Kopal Consultants Pvt (Ltd),"4, Jeevarathinam Ngr Vgp, 1St Main Rd, Palavakkam, Chennai City Corporation, Kanchipuram, Tamil Nadu","3/4, Chennai, TN"
S1-217363265,S3-415569111,India,S3,0.9790,partial_name_overlap,Pune City Exim LLP,Pune City India Pvt,"H No 254 5 No 20/3 Katraj, Kondhawa Road, Pune, Pune City, Pune, Maharashtra","1/3, Pune City, Pune, MH"
S1-299337376,S2-988435559,India,S2,0.9930,address_confusion,Tejesh Club Associates,*** TEJESHA CLUB-ASSOCIATES,"S - 45 Okhla Industrial Area Phase - Ii, New Delhi, South Delhi, Delhi","NEW DELHI, S - 45 OKHLA INDUSTRIAL AREA PHASE - II, Delhi, SOUTH DELHI"
S1-133913541,S3-7747778,India,S3,0.9534,generic_name_collision,Surya International Private Limited,Surya International-Private Limited,"L.S.No.1160, Pk Plot No.4, Tal. Kalol Opp. Universal College, Vill.Bhoyan Moti, Gandhinagar, Gandhinagar, Gandhi Nagar, Gujarat",
S1-272226584,S3-158363058,India,S3,0.9934,partial_name_overlap,Bangalore South Resorts Limited,Bangalore Limited Mills [South],"No.68 Avani Sringerinagar, 8 Cross Nayanappana Halli, Bangalore South, Bangalore, Karnataka","H.no 68, Bengaluru, KA"
S1-150449716,S3-653402802,India,S3,0.9722,partial_name_overlap,Tech Concept Trading Corporation,Tech Concept Trading Ventures  Corporation,"1-11-183/A Flat 103, Creative Homes Apartment, Secunderabad, Hyderabad, Telangana","No 1-11-186/A Fgat 103, Hyderabad, TG"
S1-153563263,S2-801291191,US,S2,0.9660,address_confusion,Smart Payroll Technologies LLC,Smart Cargo Associates Llc,"820 Starmount Circle, Unit 106, City Of Wilson, NC","820 STARMOUNT CIRCLE, NULL, WILSON, NC"
S1-213588989,S3-932652328,India,S3,0.9731,same_chain_different_branch,Ss International Ltd,Ss Pvt Ltd Services,"D-38, 2Nd Floor, Phase-1, Vivek Vihar, Delhi, East Delhi, Delhi","C-1/38, 2Nd Floor, Old Village Jasola Extn. Opp. Pocket 12 Lig Gate, Delhi, Jasola, दिल्ली"
S1-158441270,S3-555069040,India,S3,0.9922,partial_name_overlap,New Buildwell Corp,New & Associates Center Co,"Flat No. 5, Ground Floor, Building No. 3, Haji Ali Muncipal Officers Chs., Haji Al, I, Mumbai, Mumbai City, Maharashtra","11 Ground Floor Gali No 3, Hisar, HR"
S1-308770886,S2-871930751,India,S2,0.9535,partial_name_overlap,Tech Best Technologies Private Limited,Tech Technology,"E 11 Anandpuri Adarsh Nagar Jawahar Nagar, Jaipur, Rajasthan","NC 1/11, VIDHYADHAR NAGAR, SECTOR -1, JAIPUR, JAIPUR, Rajasthan"
S1-167676986,S3-282021855,India,S3,0.9987,address_confusion,YOA Engineering-Thane,EOA Engineering-Thane,"Flat No. 1706, Eagleridge B, Hiranandani Estate, Ghodbunder Road, Thane, Maharashtra","H.no 1706, Thane, MH, Eagleridge B, Hiranandani Estate, Ghodbunder Road"
S1-106351499,S2-209805977,India,S2,0.9922,partial_name_overlap,Kolkata Chain Private Limited,LLP Kolkata Asia),"67 B Netaji Subhas Roadroom No 22, Kolkata, Calcutta, West Bengal","22/22, KOLKATA, West Bengal"
S1-201982246,S3-460696092,India,S3,0.9572,partial_name_overlap,East Marketing,Dr Eastern Marketing Private,"Chennai, Ekkattuthangal, Tamil Nadu, New No.4 Old No.6 1St Cross Street Balaji Nagar, Chennai","No.6, Anna Street, Chennai, தமிழ்நாடு"
S1-139346196,S2-268736441,India,S2,0.9980,same_chain_different_branch,Smart & Co,SMART & CO GROUP,"No.286/3B, Sri Devi Nagar, Vazhudhalambedu, Chennai, Kancheepuram, Tamil Nadu","NO.286/7B  , SRI DEVI NAGAR, VAZHUDHALAMBEDU, CHENNAI, Tamil Nadu"
S1-276808655,S2-4686395,India,S2,0.9456,generic_name_collision,Krishna Infotech Private Limited,KRISHNA INFOTECH PRIVATE [LIMITED],"Salarpuria Magnificia, Tin Factory 78 Old Madras, Bangalore North, Bangalore, Karnataka",
S1-177546678,S3-117289244,India,S3,0.9962,partial_name_overlap,Mumbai Global Ltd,Mumbai Cs0mciiece Private Limited,"B/305, Vaibhav Paradise, Aaram Society Road, Mumbai, Maharashtra","305, Mumbai, MH"
S1-131503343,S2-729335178,India,S2,0.9993,generic_name_collision,Kamala Industries Group,Kamala Industries Group,"Office No.501, B-Wing, The Western Edge Ii Premises, Co-Op Society Ltd, Off Western Express Highway, Borivali East, Mumbai., Borivlai East, Mumbai, Maharashtra","DOOR NO 197 OFFICE NO.505, B-WING, THE WESTERN EDGE II PREMISES, CO-OP SOCIETY LTD, OFF WESTERN EXPRESS HIGHWAY, BORIVALI EAST, MUMBAI., BORIVLAI EAST, Maharashtra"
S1-218564416,S3-165564719,India,S3,0.9574,partial_name_overlap,Thiruvananthapuram Beverages Ltd,Thiruvananthapuram India Overseas,"T.C86/1189/3, Auravista, Aksharaveedhi Lane, Pettah, Thiruvananthapuram, Thiruvananthapuram, Trivandrum, Kerala","Thiruvananthapuram, Trivandrum, Mp 3/46 A, KL"
S1-328042905,S3-281721339,India,S3,0.9759,partial_name_overlap,Ajit Feed Private Limited,private ajit products limited,"H.No 8-7-42/4A, 2Nd Floor, Sv Residency, Tirumalagiri, Hyderabad, Telangana","Door No 8-7-42/8A, 2Nd Floor, Sv Residency, Hyderabad, Old Bowenpally, TG"
S1-151851682,S2-16770542,US,S2,0.9649,generic_name_collision,"Corner Bakery!, LLC",Corner Bakery Llc,"166 Weller Lane, Gallatin, TN","001391 FOXLAND BLVD, GALLATIN, TN"
