s1_id,target_id,country,source,rank_in_arrival,channels,model_score,was_predicted_uncapped,would_pass_tau,s1_name,target_name,s1_addr,target_addr
S1-102102658,S3-788607725,US,S3,69,token_sort+tok_num,0.9997,True,True,Diamond Nutrition Studios LP,LP Diamond Nutrition Studios,"7 Isabelle Drive, Bloomington, IL","7 Isabelle Dr, Bloomingtn, Illinois"
S1-102102658,S3-863764355,US,S3,102,tok_num,0.9996,True,True,Diamond Nutrition Studios LP,Diamond  Nutrition Studios,"7 Isabelle Drive, Bloomington, IL","Illinois, Bloomingtn, 7 Isabelle Dr"
S1-102141839,S3-444619731,US,S3,213,token_sort+strip_name,0.5828,False,False,Urban Hair Studio,Urban Hair Studio Corporation,"354 Atkinson, Port Bolivar, TX","Atkinson, PT Oblivar, Texas"
S1-102459114,S3-851589809,US,S3,41,tok_num,0.9992,True,True,"2373 Park Place Associates, LLC","2373 Párk Place Associates, LLC","Romance, 1635 Highway 5, AR","#1635 Highway 5, Romance, Arkansas"
S1-102463404,S2-231829947,US,S2,146,token_sort+tok_num+strip_name,0.9993,True,True,Allied Industries LLC,Allied Industries,"59 Walnut Plain Road, Rochester, MA","59 WALNUT PLAIN RD, null, ROCHESTER, MA"
S1-102463404,S2-686385902,US,S2,248,token_sort+tok_num+strip_name,1.0000,True,True,Allied Industries LLC,ALLIED INDUSTRIES [LLC],"59 Walnut Plain Road, Rochester, MA","59 WALNUT PLAIN ROAD, null, ROCHESTER, MA"
S1-102463404,S2-35866071,US,S2,294,token_sort+tok_num+strip_name,0.9986,True,True,Allied Industries LLC,Allied Industries,"59 Walnut Plain Road, Rochester, MA","59 WALNUT PLAIN ROAD, null, ROCHESTER, MA"
S1-102463404,S3-197786517,US,S3,610,token_sort+tok_num+strip_name,0.9992,True,True,Allied Industries LLC,Allied Industries,"59 Walnut Plain Road, Rochester, MA","59 Walnut Plain Road, Rochestre, Massachusetts"
S1-102463404,S3-349170798,US,S3,729,token_sort+tok_num+strip_name,1.0000,True,True,Allied Industries LLC,ALLIED INDUSTRIES LLC,"59 Walnut Plain Road, Rochester, MA","59 Walnut Plain Rd, Rochestre, Massachusetts"
S1-102755623,S3-763695606,US,S3,123,token_sort+strip_name,0.3091,False,False,"Dennis, Anderson and Toupin Citigroup LLC","Dennis, Anderson and Toupin Citigroup","145 Forest Parkway, Unit APT D, Valley Park, MO","Forest Pkwy, Valley Park, Missouri"
S1-10284455,S2-159674262,India,S2,253,token_sort+tok_num+strip_name,1.0000,True,True,Hardik Consultants,hardik consultants,"Flat No. 804, Room No-1, Swastik Height, Azad Nagar, Bhilwara, Bhilwara, Rajasthan","FLAT NO. 804, ROOM NO-1, SWASTIK HEIGHT, AZAD NAGAR, BHILWARA, BHILWARA, Rajasthan"
S1-10284455,S2-248110251,India,S2,844,token_sort+strip_name,0.9300,False,False,Hardik Consultants,hardik consultants,"Flat No. 804, Room No-1, Swastik Height, Azad Nagar, Bhilwara, Bhilwara, Rajasthan",
S1-10284455,S3-819532554,India,S3,2162,token_sort+strip_name,0.5268,False,False,Hardik Consultants,Hardik Consultants,"Flat No. 804, Room No-1, Swastik Height, Azad Nagar, Bhilwara, Bhilwara, Rajasthan","8-04, Bhilwara, राजस्थान"
S1-102946976,S3-412473967,US,S3,52,token_sort+tok_num+strip_name,0.9990,True,True,Summit Academy Inc,Summit-Academy  Inc,"10255 724, Tyler, TX","724, Tyler, Texas"
S1-102946976,S3-21716106,US,S3,56,token_sort+tok_num+strip_name,1.0000,True,True,Summit Academy Inc,Summit  Academy-Inc,"10255 724, Tyler, TX","10255 724, Tyler, Texas"
S1-102946976,S3-176522287,US,S3,64,token_sort+tok_num+strip_name,0.9997,True,True,Summit Academy Inc,Summit Academy,"10255 724, Tyler, TX","10255 724, Tyler, Texas"
S1-102946976,S3-893114149,US,S3,67,tok_num,0.9994,True,True,Summit Academy Inc,Summit Academy Inc Bóard,"10255 724, Tyler, TX","10255 724, Tyler, Texas"
S1-102953666,S2-402239333,India,S2,175,token_sort+tok_num+strip_name,0.9993,True,True,Noori Law Chambers,Noori Law  Chambers Corp,"2/2 R.N.Tagore Road, Dakshineswar, North 24 Paraganas, North 24 Parganas, West Bengal","NO /2 R.N.TAGORE ROAD, DAKSHINESWAR, NORTH 24 PARAGANAS, পশ্চিমবঙ্গ"
S1-102953666,S3-673243525,India,S3,573,token_sort+tok_num+strip_name,1.0000,True,True,Noori Law Chambers,Noori  Law Chambers,"2/2 R.N.Tagore Road, Dakshineswar, North 24 Paraganas, North 24 Parganas, West Bengal","Door No 002/2 R.n.tagore Road, Dakshineswar, North 24 Paraganas, North 24 Parganas, WB"
S1-102953666,S3-860367368,India,S3,679,token_sort+tok_num+strip_name,0.9997,True,True,Noori Law Chambers,Noori Law Chambers LLP,"2/2 R.N.Tagore Road, Dakshineswar, North 24 Paraganas, North 24 Parganas, West Bengal","H.no 002/2 R.n.tagore Road, Dakshineswar, North 24 Paraganas, North 24 Parganas, WB"
S1-102953666,S3-319400038,India,S3,855,tok_num,0.9999,True,True,Noori Law Chambers,Noori,"2/2 R.N.Tagore Road, Dakshineswar, North 24 Paraganas, North 24 Parganas, West Bengal","2/2 R.N.Tagore Road, Dakshineswar, North 24 Paraganas, North 24 Parganas, West Bengal"
S1-102953666,S3-112287266,India,S3,965,token_sort+tok_num+strip_name,0.9970,False,True,Noori Law Chambers,Noori Law Chambers Corporation,"2/2 R.N.Tagore Road, Dakshineswar, North 24 Paraganas, North 24 Parganas, West Bengal","002/2 R.n.tagore Rod, Dakshineswar, North 24 Parganas, North 24 Paraganas, পশ্চিমবঙ্গ"
S1-103258476,S3-87436460,India,S3,70,token_sort+tok_num+strip_name,0.9988,True,True,Dream Anand Enterprises Private Limited,Dream Anand Enterprises Private Ltd,"Gat No. D 58, Midc Area, Ranjangaon, Taluka Shirur, Pune, Maharashtra","Gat No. D 58, Midc Area, Ranjangaon, Taluka Shirur, Pune, महाराष्ट्र"
S1-103510838,S3-68178011,US,S3,47,token_sort+tok_num+strip_name,1.0000,True,True,Hook Vision,Hook Vision,"6 Croft Circle, Littleton, MA","6-10 Croft Circle, Littleton, Massachusetts"
S1-103598483,S2-922797001,India,S2,49,token_sort+tok_num+strip_name,0.9999,True,True,Gracious Rubber Pvt Ltd,Gracious Rubber,"E 53/1 E Block, Phase I, Jal Vilar, Nazafgarh, New Delhi, Delhi","E 53/1 E BLOCK, PHASE I, JAL VILAR, NAZAFGARH, Delhi"
S1-103598483,S2-100365227,India,S2,63,tok_num,0.9981,True,True,Gracious Rubber Pvt Ltd,Gracious Pvt Ltd Center,"E 53/1 E Block, Phase I, Jal Vilar, Nazafgarh, New Delhi, Delhi","E 53/1 E BLOCK, PHASE I, JAL VILAR, NAZAFGARH, Delhi"
S1-103598483,S3-603872668,India,S3,84,tok_num,0.9934,True,True,Gracious Rubber Pvt Ltd,Gracious Pvt Ltd  Services,"E 53/1 E Block, Phase I, Jal Vilar, Nazafgarh, New Delhi, Delhi","Nazafgarh, New Delhi, DL, E 53/1. E Block"
S1-103598483,S3-877118847,India,S3,120,tok_num,0.9993,True,True,Gracious Rubber Pvt Ltd,Gracious Rbbgre Pvt Ltd,"E 53/1 E Block, Phase I, Jal Vilar, Nazafgarh, New Delhi, Delhi","E 53/1. E Block, Phase I, Jal Vilar, Nazafgarh, New Delhi, DL"
S1-103957554,S2-518062555,India,S2,1851,token_sort+tok_num+strip_name,0.9999,True,True,New Delhi Technologies Private Limited,New Delhi Technologies-Private Limited,"Mcd-1146, Gali-11, Govindpuri, New Delhi, South Delhi, Delhi","MCD-1146, GALI-11, GOVINDPURI, NEW DELHI, दिल्ली"
S1-103957554,S3-488658547,India,S3,2826,token_sort+tok_num+strip_name,0.9996,True,True,New Delhi Technologies Private Limited,New Delhi Technologies Private  Limited,"Mcd-1146, Gali-11, Govindpuri, New Delhi, South Delhi, Delhi","Mcd-1146, South East Delhi, DL"
S1-104043109,S2-684741952,India,S2,926,token_sort+tok_num,0.9994,True,True,Unique Constructions LLP,Constructions Unique LLP,"Hyderabad, 18-1-514/10, Naseeb Nagar Chandrayan Gutta, Telangana","B3/18-1-514/10, NASEEB NAGAR CHANDRAYAN GUTTA, HYDERABAD, Andhra Pradesh"
S1-104043109,S3-570802237,India,S3,1845,token_sort+tok_num+strip_name,0.9998,True,True,Unique Constructions LLP,Unique Constructions,"Hyderabad, 18-1-514/10, Naseeb Nagar Chandrayan Gutta, Telangana","18-1-514/10, Hyderabad, TG"
S1-104215935,S2-339644570,US,S2,79,token_sort+tok_num+strip_name,0.9995,True,True,Fresh Bistro,Fresh Bistro LLC,"NY, 33 Phyllis Drive, West Seneca","33- PHYLLIS DRIVE, WEST SENECA, NY"
S1-104215935,S2-331236265,US,S2,147,token_sort+tok_num+strip_name,0.9995,True,True,Fresh Bistro,FRESH BISTRO [CORPORATION],"NY, 33 Phyllis Drive, West Seneca","33- PHYLLIS DR, WEST SENECA, NY"
S1-104215935,S3-326587698,US,S3,217,token_sort+strip_name,0.9796,True,True,Fresh Bistro,FRESH BISTRO,"NY, 33 Phyllis Drive, West Seneca","Phyllis Dr, West Seneca, New York"
S1-104251384,S2-158087214,India,S2,132,token_sort+tok_num+strip_name,0.9981,True,True,Khichripur Chits Private Limited,Khichripur  Chits Private Ltd,"32/A 2Nd Floor, Work Centre Dsiidc Kalyanpuri, Near 1 Block Stand, Khichripur, East Delhi, Delhi","H.NO 32/A 2ND FLOOR, WORK CENTRE DSIIDC KALYANPURI, NEAR 1 BLOCK STAND, KHICHRIPUR, दिल्ली"
S1-104251384,S2-267049244,India,S2,203,tok_num,0.9872,True,True,Khichripur Chits Private Limited,Khichripur Chits Limited Partners,"32/A 2Nd Floor, Work Centre Dsiidc Kalyanpuri, Near 1 Block Stand, Khichripur, East Delhi, Delhi","DOOR NO 32/A 2ND FLOOR, WORK CENTRE DSIIDC KALYANPURI, NEAR 1 BLOCK STAND, KHICHRIPUR, Delhi"
S1-104251384,S3-671658127,India,S3,363,token_sort+tok_num+strip_name,1.0000,True,True,Khichripur Chits Private Limited,Khichripur Chits-Private Limited,"32/A 2Nd Floor, Work Centre Dsiidc Kalyanpuri, Near 1 Block Stand, Khichripur, East Delhi, Delhi","Work Centre Dsiidc Kalyanpuri, Near 1 Block Stand, No 32/A 2Nd Floor, दिल्ली, Khichripur, East Delhi"
S1-104722086,S2-345052383,India,S2,75,token_sort+tok_num+strip_name,0.9979,True,True,Silver Classic Consultancy Private Limited,Silver Classic Consultancy Private Ltd,"C-31, Housing Society South Extension - I, New Delhi, Delhi","C-031, HOUSING SOCIETY SOUTH EXTENSION - I, NEW DELHI, दिल्ली"
S1-104722086,S2-609056339,India,S2,151,token_sort+tok_num+strip_name,1.0000,True,True,Silver Classic Consultancy Private Limited,Silver Classic Consultancy Private [Limited],"C-31, Housing Society South Extension - I, New Delhi, Delhi","C-031, HOUSING SOCIETY SOUTH EXTENSION - I, NEW DELHI, दिल्ली"
S1-104722086,S3-762349518,India,S3,201,token_sort+tok_num+strip_name,0.9981,True,True,Silver Classic Consultancy Private Limited,Silver Classic Consultancy Private Ltd,"C-31, Housing Society South Extension - I, New Delhi, Delhi","C-31/7, New Delhi, DL"
S1-104722086,S3-969046610,India,S3,365,tok_num,1.0000,True,True,Silver Classic Consultancy Private Limited,Fayegildyuma née Silver Classic Consultancy Private Limited,"C-31, Housing Society South Extension - I, New Delhi, Delhi","C-31, Housing Society South Extension - I, New Delhi, Delhi"
S1-104858709,S3-649587227,India,S3,927,token_sort+tok_num+strip_name,0.9964,True,True,Smart Industries Limited,Smart Industries Ltd,"R/ 87, Pratap Vihar Wakil Colony, Sector 12, Ghaziabad, Uttar Pradesh","R/ 87, Pratap Vihar Wakil Colony, Sector 12, Ghaziabad, Ghaziabaad, UP"
S1-105180646,S3-148951169,US,S3,1538,token_sort+tok_num+strip_name,0.9997,True,True,Urology Medicine of Swanton LLC,Urology Medicine OF Swanton LLC,"5687 Co Rd 1, Swanton, OH","Co Rd 1, Swanton ITY, Ohio"
S1-105180646,S3-33182738,US,S3,1604,token_sort+tok_num+strip_name,0.9892,True,True,Urology Medicine of Swanton LLC,Urology Medicine of (Swanton),"5687 Co Rd 1, Swanton, OH","Co Rd 1, Swanton ITY, Ohio"
S1-105238418,S3-688326209,US,S3,170,token_sort+tok_num+strip_name,1.0000,True,True,Commission on Transportation,Commission On Transportation,"773 Ashley 95 Road, Hamburg, AR","773 Ashley 95 Rd, Hamburg, Arkansas"
S1-105238418,S3-999645189,US,S3,229,token_sort+tok_num+strip_name,0.9996,True,True,Commission on Transportation,Commission on Transportation Corporation,"773 Ashley 95 Road, Hamburg, AR","773 Ashley 95 Rd, Hamburg, Arkansas"
S1-105241970,S2-755319401,US,S2,412,tok_num,0.9976,True,True,Womens Health Center Inc,Womens Heaeth-Center Inc,"818 Gilcrest Lane, Cincinnati, OH","818 GILCREST LN, <NULL>, CINCINNATI, OH"
S1-105241970,S3-493861055,US,S3,2166,token_sort+tok_num+strip_name,1.0000,True,True,Womens Health Center Inc,Womens-Health Center Inc,"818 Gilcrest Lane, Cincinnati, OH","818 Gilcrest Ln, Cincinnati, Ohio"
S1-10534661,S3-975019899,India,S3,488,token_sort+tok_num+strip_name,0.9982,True,True,Blue Nursing Home,Blue Nursing Home Company,"Madhya Pradesh, Indore, Race Course Road, 404, Princess Empire, 12","404, Indore, MP"
S1-10534661,S3-702038996,India,S3,646,tok_num,0.9980,True,True,Blue Nursing Home,Blue Nursing-Home - 5998583975,"Madhya Pradesh, Indore, Race Course Road, 404, Princess Empire, 12","404, Indore, MP"
S1-105417727,S3-85304528,India,S3,43,token_sort+strip_name,0.4902,False,False,Ghaziabad Tech Limited,Limited Ghaziabad Tech,"S D-178, Shastri Nagar, Ghaziabad, Ghaziabad, Uttar Pradesh","S D-78, Shastri Nagar, Ghaziabad, Ghaziabad, UP"
S1-105593862,S3-960940930,India,S3,2489,token_sort+tok_num+strip_name,0.9997,True,True,High Super Marketing Private Limited,High Super Marketing Private,"A-2/10, Chanakya Place, New Delhi, West Delhi, Delhi","A-2/10, Chanakya Place, West Delhi, New Delhi, DL"
S1-105593862,S3-109713298,India,S3,3684,token_sort+tok_num+strip_name,1.0000,True,True,High Super Marketing Private Limited,High Super Marketing Private [Limited],"A-2/10, Chanakya Place, New Delhi, West Delhi, Delhi","A-2/10, Chanakya Place, New Delhi, West Delhi, DL"
S1-105593862,S3-969624479,India,S3,4403,token_sort,0.9986,True,True,High Super Marketing Private Limited,High Private Marketing Super Limited,"A-2/10, Chanakya Place, New Delhi, West Delhi, Delhi",
S1-105755934,S2-928809331,India,S2,69,token_sort+tok_num+strip_name,0.9998,True,True,Yashovardhan Traders Associates,Yashovardhan Traders Associates Corp,"Sector-45, Plot No -378, Gurgaon, Haryana","SECTOR-##45, PLOT NO -378, GURGAON, Haryana"
S1-105755934,S3-799504354,India,S3,119,token_sort+tok_num+strip_name,0.9990,True,True,Yashovardhan Traders Associates,Yashovardhan Traders,"Sector-45, Plot No -378, Gurgaon, Haryana","Sector-45, Plot No -378, Gurugram, Gurgaon, HR"
S1-105793145,S2-241819699,US,S2,839,token_sort+strip_name,0.2384,False,False,Orthopedic Group,#ORTHOPEDIC,"488 Eagle Mills Road, Sonora, KY",
S1-105793145,S3-977937403,US,S3,1489,token_sort+tok_num+strip_name,1.0000,True,True,Orthopedic Group,Orthopedic Group,"488 Eagle Mills Road, Sonora, KY","488-492 Eagle Mills Road, Sonora, Kentucky"
S1-105844178,S2-887305420,US,S2,70,token_sort+tok_num+strip_name,1.0000,True,True,"Muth, Karlin and Eakins LLC","Muth, Karlin And Eakins Llc","415 East Street, Fairport Harbor, OH","415 EAST STREET, PAINESVILLE, OH"
S1-105844178,S3-270936889,US,S3,178,tok_num,0.8852,False,False,"Muth, Karlin and Eakins LLC","Muth, Karlin and Eakins LLC Service","415 East Street, Fairport Harbor, OH","415- East Saint, Painesville Township, Ohio"
S1-105886196,S2-781446352,US,S2,155,tok_num,0.9959,True,True,"Mccollum, Bittner and Philip, Inc","Mcc0llum, Bittner and Philip, Ínc","2126 30, Orem, UT","##2126 30, OREM, UT"
S1-105886196,S3-367383703,US,S3,353,tok_num,0.9975,True,True,"Mccollum, Bittner and Philip, Inc","Mccollum, 8ittner & Philip, Inc","2126 30, Orem, UT","2126 30, N/A, Orem, Utah"
S1-105926894,S2-926803270,India,S2,580,token_sort+tok_num+strip_name,0.9999,True,True,Multigain Welfare Society LLP,Multigain  Welfare Society LLP,"Kodagu, Karnataka, Shop No 2, Kushalnagar, 1St Floor, Puttaiah Complex, Ratha Beedhi","SHOP NO 2/6 , 1ST FLOOR, PUTTAIAH COMPLEX, RATHA BEEDHI, KUSHALNAGAR, Karnataka"
S1-105926894,S2-319220235,India,S2,957,tok_num,0.9636,True,True,Multigain Welfare Society LLP,Mr Multigain Welfare 5ociety LLP,"Kodagu, Karnataka, Shop No 2, Kushalnagar, 1St Floor, Puttaiah Complex, Ratha Beedhi","DOOR NO 2/6 , 1ST FLOOR, PUTTAIAH COMPLEX, RATHA BEEDHI, KUSHALNAGAR, Karnataka"
S1-105926894,S3-116308003,India,S3,1146,token_sort+tok_num+strip_name,1.0000,True,True,Multigain Welfare Society LLP,MULTIGAIN WELFARE SOCIETY LLP,"Kodagu, Karnataka, Shop No 2, Kushalnagar, 1St Floor, Puttaiah Complex, Ratha Beedhi","No 2, 1St Floor, Puttaiah Complex, Ratha Beedhi, Kushalnagar, Semi Urban, ಕರ್ನಾಟಕ"
S1-105926894,S3-348647018,India,S3,1886,tok_num,0.9999,True,True,Multigain Welfare Society LLP,Pyrakelobelo+ t/a Multigain Welfare Society LLP,"Kodagu, Karnataka, Shop No 2, Kushalnagar, 1St Floor, Puttaiah Complex, Ratha Beedhi","Shop No 2, 1St Floor, Puttaiah Complex, Ratha Beedhi, Kushalnagar, Kodagu, Karnataka"
S1-105961172,S3-548458169,India,S3,520,token_sort+tok_num+strip_name,0.9948,True,True,Hari Industries Private Limited,Hari Industries Private Ltd,"Ist Floor Idustrial Area Village Rithala, Delhi, 877, Delhi","0877, <NULL>, Ist Floor Idustrial Area Village Rithala, Delhi, DL"
S1-106044690,S3-108187572,India,S3,55,token_sort+tok_num+strip_name,0.9999,True,True,Deepika Import,Deepika Import Ltd,"C-60/2, Left Side, Wazirpur Industrial Area, Delhi, North West Delhi, Delhi","C-60/2, Delhi, DL"
S1-106185963,S2-737532914,US,S2,54,token_sort+tok_num+strip_name,1.0000,True,True,Titan Short Partners,TITAN SHORT PARTNERS,"812 Locust Street, Watseka, IL","812 LOCUST ST, WATEKA, IL"
S1-106198648,S2-300826291,US,S2,42,token_sort+tok_num+strip_name,0.9996,True,True,Atlantic Fellowship Inc,Atlantic Fellowship,"4373 Margaret Ridge Drive, Florissant, MO","04373 MARGARET RIDGE DR, FLORISSANT, MO"
S1-106286897,S3-936351461,India,S3,499,token_sort+tok_num+strip_name,0.9988,True,True,Digital Healthcare Private Limited,Digital Healthcare Private,"W.No.20 Gat No.78, Fakirmala, Jawaharnagar, Ichalkaranji, Kolhapur, Maharashtra","W.no.20 Gat No.78, Fakirmala, Jawaharnagar, Ichalkaranji, Kolhapur, MH"
S1-10632889,S2-722373992,US,S2,52,token_sort+tok_num+strip_name,0.9997,True,True,Liberty Federation,Liberty Federation Inc,"207 Amesbury Lane, Newport News City, VA","207 AMESBURY LANE, NEWWPORT NEWS, VA"
S1-10632889,S2-925197089,US,S2,63,token_sort+tok_num+strip_name,1.0000,True,True,Liberty Federation,Liberty  Federation,"207 Amesbury Lane, Newport News City, VA","207 AMESBURY LANE, NEWWPORT NEWS, VA"
S1-10632889,S3-143278119,US,S3,101,token_sort+strip_name,0.3498,False,False,Liberty Federation,Liberty Federation-Co,"207 Amesbury Lane, Newport News City, VA","Amesbury Ln, Newwport NEWS, Virginia"
S1-106391908,S2-88164921,US,S2,82,token_sort+tok_num+strip_name,1.0000,True,True,Blue Nails! Inc,BLUE NAILS! INC.,"520 730, Irrigon, OR","520 730, IRRIGON, OR"
S1-106391908,S2-456521640,US,S2,92,token_sort+tok_num+strip_name,0.9998,True,True,Blue Nails! Inc,Blue Nails!,"520 730, Irrigon, OR","520 730, IRRIGON, OR"
S1-106391908,S3-477859264,US,S3,123,token_sort+tok_num+strip_name,1.0000,True,True,Blue Nails! Inc,Blue  Nails! Inc,"520 730, Irrigon, OR","520 730, Irrigon, Oregon"
S1-106391908,S3-241221926,US,S3,188,token_sort+tok_num+strip_name,1.0000,True,True,Blue Nails! Inc,Blue Nails! (Inc),"520 730, Irrigon, OR","520 730, Irrigon, Oregon"
S1-106391908,S3-983942101,US,S3,195,token_sort+tok_num+strip_name,1.0000,True,True,Blue Nails! Inc,Blue Nails!  Inc,"520 730, Irrigon, OR","520 730, Irrigon, Oregon"
S1-106485740,S2-592165437,India,S2,592,tok_num,0.9988,True,True,Unique Silver Ventures Private Limited,UNIQUE  SLIVCRER VENTURES PRIVATE LIMITED,"L 2/501 Gharonda Awasiya Yojan Nabibagh, Bhopal, Madhya Pradesh","L 2/501 GHARONDA AWASIYA YOJAN NABIBAGH, BHOPAL, Madhya Pradesh"
S1-106485740,S3-625318659,India,S3,4532,tok_num,0.9416,False,True,Unique Silver Ventures Private Limited,यूनिक Silver Ventures Private Limited,"L 2/501 Gharonda Awasiya Yojan Nabibagh, Bhopal, Madhya Pradesh","L 2/501 Gharonda Awasiya Yojan Nabibagh, Bhopal, MP"
