s1_id,target_id,country,category,s1_name,target_name,s1_addr,target_addr
S1-126984145,S2-477493365,India,address_only_linkage,Vision Ventures Private Limited,visionventures.com,"1/1, Miller Arcade, 2Nd Floor, Millers Road, Vasanthnagar, Bangalore South, Bangalore, Karnataka","1/1, MILLER ARCADE, 2ND FLOOR, MILLERS ROAD, VASANTHNAGAR, BANGALORE SOUTH, Karnataka"
S1-285028501,S3-98828525,US,numeric_address_formatting,Coretta Galbreath Horizon Tpg,Coretta Gálbreath Horizon-Tpg,"1008 Downton Road, Halethorpe, MD","1008a Downton Road, Halethorpe, Maryland"
S1-157351194,S2-846492050,India,numeric_address_formatting,HZG Singh,HZG-Services,"S No:12A, Midc, Nr Mother Dairy, Saravli, Bhiwandi, Thane, Maharashtra","Maharashtra, NO 852 S NO:12A, MIDC, NR MOTHER DAIRY, SARAVLI, BHIWANDI"
S1-244167583,S3-861745638,US,address_only_linkage,Gill Space Inc,Gillspace.Com,"2173 Sheringham Road, Columbus, OH","2173 Sheringham Road, Columbus, Ohio"
S1-304197401,S2-686691591,US,address_only_linkage,A Royal Impact LLC,IMPACTROYAL.COM,"6359 Country Road, Eden Prairie, MN","6359-B COUNTRY ROAD, EDEN PRAIRIE, MN"
S1-165724718,S2-17947733,India,other,Big Care Private Limited,BIGCARE.COM,"Rajesh Kumar, S/O-Late Yogendra Pd Chaura Opp- N T P C Colony, New Karbigahiya, Patna, Bihar","Bihar, RAJESH KUMAR, S/O-LATE YOGENDRA PD CHAURA OPP- N T P C COLONY, NEW KARBIGAHIYA, PATNA"
S1-246030810,S2-484566430,India,address_only_linkage,Shyam Constructions Private Limited,ശ്യാം കൺസ്ട്രക്ഷൻസ് പ്രൈവറ്റ് ലിമിറ്റഡ്,"No 1968, Pattariyil Kattaikonam P O, Thiruvananthapuram, Thiruvananthapuram, Trivandrum, Kerala","NO 1968, TRIVANDRUM, Kerala"
S1-171057488,S2-779860177,US,missing_address,Rapid Coastal Beverage Inc.,Rapid Cobal Beverage Inc Inc,"1505 Duxberry Avenue, Columbus, OH",
S1-230387411,S3-841720270,India,address_only_linkage,Indo Unique Consultancy Private Limited,इंडो यूनिक कंसल्टेंसी प्राइवेट लिमिटेड,"In Front Of K-112 & Oxford Academy School Jogipur, Patna, Hanuman Nagar Po-Lohiya Nagar, Kankarbagh, Bihar","In Front Of K-112 & Oxford Academy School Jogipur, Hanuman Nagar Po-lohiya Nagar, Kankarbagh, Patna, BR"
S1-109011304,S3-12524090,US,numeric_address_formatting,Rucker Staffing,The Rucker Staffing,"IA, 1205 1st Avenue, Denison","1205c First Ave, Iowa, Denison"
S1-164781469,S2-447097028,India,other,Construction Merlin Automotive Private Limited,Private Construction Meliln Automotive (Limited),"No.6A, Thomas Nagar Ullagaram, Chennai, Tamil Nadu","Tamil Nadu, CHENNAI, #6A"
S1-167587686,S2-606124702,India,missing_address,Moon Tech Private Limited,MOON PRIVATE LIMITED PARTNERS,"A21 Alinagar Surya Mandir, Behind State Bank Of Ind, Phulwari, Patna, Bihar",
S1-294065500,S2-198276028,India,address_only_linkage,South Power LLP,ಸೌತ್ ಪವರ್ ಎಲ್ಎಲ್‌ಪಿ,"No.59, 19Th Main Ii Block, Bangalore North, Bangalore, Karnataka","#59, 19TH MAIN II BLOCK, BANGALORE NORTH, BANGALORE, Karnataka"
S1-318785638,S3-290405469,US,address_only_linkage,Moser & Lannon Etf LLC,moserlannon.com,"8800 Raintree Drive, Unit STE 140, Scottsdale, AZ","8800 Raintree Dr, # STE 140, Scottsdale, Arizona"
S1-160356967,S2-262650024,India,address_only_linkage,Ace Projects Private Limited,एस प्रोजेक्ट्स प्राइवेट लिमिटेड,"13, Shriram Complex Hingane Home Colony, Karvenagar, Pune, Maharashtra","13, PUNE, Maharashtra"
S1-175437301,S3-932388827,US,numeric_address_formatting,Wildlife Fund,Wildlife Fdnd,"4725 Lynn Road, Memphis, TN","Memphis, Tennessee, 4725a Lynn Rd"
S1-108624898,S2-547987896,India,other,Sansu Consultants,Mr Sansu Consultants Ltd,"Jasoria Enclavefatehabad Road Agra, Uttar Pradesh, Agra, Uttar Pradesh","JASORIA ENCLAVEFATEHABAD ROAD AGRA, UTTAR PRADESH, उत्तर प्रदेश"
S1-151005028,S3-732544482,US,numeric_address_formatting,"Certified Direct, Inc","Certified Diec, [Inc]","2109 Amber Gate Drive, Anna, TX","Amber Gate Drive, Anna, Texas"
S1-106029585,S3-893865389,India,address_only_linkage,Shiv Producer Private Limited,shivproducer.com,"Plot 9, Shubham Residency, Motibaug Road, Junagadh, Gujarat","Plot 9, Shubham Residency, Motibaug Road, Junagadh, GJ"
S1-250634839,S2-721900387,US,numeric_address_formatting,Juanita Shariff Fresh Mfa LLC,JUANITA SANIF FRESH MFA LLC,"208 Elm Street, Unit Apartment 1, Penn Yan, NY","08 ELM STREET, PENN YAN, NY"
S1-103093522,S2-487353989,India,missing_address,Aarvva Capital Limited,AARVVA-CAITOCL LIMITED,"#1719, 6Th Main, 6Th Cross Judicial Layout Gkvk Post, Bangalore, Karnataka",
S1-223836916,S3-493763126,US,numeric_address_formatting,Strategic Creative Labs Inc,Strategic Creative Ls Inc,"607 Frost Place, Shelby, NC","60 Frost Pl, Shelby, North Carolina"
S1-107807486,S3-178340201,India,numeric_address_formatting,Odi Equipment Private Limited,Odi Equipment Private Límited,"Mumbai, Maharashtra, Mumbai, 101 Tardeo Air Conditionedmarket Tardeo Road","#10 Tardeo Air Conditionedmarket Tardeo Road, Mumbai, MH, Mumbai"
S1-182294679,S2-773303383,India,severe_name_variation,New Finance Private Limited,न्यू फाइनेंस प्राइवेट लिमिटेड,"1056A, Ground Floor, Iffco Colony Sector 17B, Gurgaon, Haryana","1056A, GURGAON, Haryana"
S1-154687788,S2-36863420,India,address_only_linkage,Hitech Management Private Limited,हाईटेक मैनेजमेंट प्राइवेट लिमिटेड,"1210, 12Th Floor, Hubtown Solaris, Ns Phadke Marg, Saiwadi, Andheri East, Mumbai, Mumbai City, Maharashtra","1210, 12TH FLOOR, HUBTOWN SOLARIS, NS PHADKE MARG, SAIWADI, ANDHERI EAST, BOMBAY, MUMBAI CITY, महाराष्ट्र"
S1-298328243,S3-936732610,India,address_only_linkage,Premier Ventures Pvt Ltd,பிரீமியர் வென்ச்சர்ஸ் பிரைவேட் லிமிடெட்,"Old No. 117, New No 52, Bajanaikoil Street 1St Floor, Choolaimedu, Chennai, Tamil Nadu","Old No. 117., Madras, TN"
S1-120531116,S3-344839625,US,numeric_address_formatting,All Lincoln PC,All Lincoln LLC,"911 Wildwood Lane, Bellaire, TX","Texas, 896 Wildwood Lane, Bellairecdp"
S1-171912358,S3-653120108,US,missing_address,Aldrich Companies,Aldrich Compcaies,"2043 Moffat Street, Chicago, IL",
S1-173326643,S3-482581600,US,missing_address,Vanguard Platinum First Inc,Vanguard First Inc  Partners,"135-19 118 Street, South Ozone Park, NY",
S1-327635348,S3-114611296,India,address_only_linkage,Prime Management Private Limited,PM,"101-102, Subhalaxmi Complex Nr Sivalik Complex Subhanpura, Vadoadar, Vadodara, Gujarat","101-102, Subhalaxmi Complex Nr Sivalik Complex Subhanpura, Vadoadar, Vadodara, Gujarat"
S1-109160539,S3-938536793,US,address_only_linkage,Atlas,Almas,"865 Mount Tabor Road, Cabot, AR","865 Mount Tabor Rd, Cabot, Arkansas"
S1-306733890,S2-849482267,India,address_only_linkage,Hotel Tech Private Limited,ಹೋಟೆಲ್ ಟೆಕ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"No. 279 & 288, 3Rd Floor, Amarjyothi Layout Domlur, Bengaluru, Bangalore, Karnataka","Karnataka, BANGALORE, 3RD FLOOR, AMARJYOTHI LAYOUT DOMLUR, NO. 279 & 288"
S1-131331706,S2-171743479,India,address_only_linkage,Modern Gujarat Producer Pvt Ltd,मॉडर्न गुजरात प्रोड्यूसर प्रा. लि.,"Golden-1 Shop No-T3-1104, Plt No-11 Sec-Techzone Iv, Gautam Buddha Nagar, Uttar Pradesh","GOLDEN-1 SHOP NO-T3-1104, PLT NO-11 SEC-TECHZONE IV, GAUTAM BUDDHA NAGAR, Uttar Pradesh"
S1-131749304,S2-581088162,India,address_only_linkage,Laxmi Food Private Limited,लक्ष्मी फूड प्राइवेट लिमिटेड,"C-346, Ground Floor Office, Palam Extn, Sector-7, Dwarka, New Delhi, South West Delhi, Delhi","C-34, GROUND FLOOR OFFICE, PALAM EXTN, SECTOR-7, DWARKA, SOUTH WEST DELHI, DWARKA NEW DELHI, Delhi"
S1-144292820,S2-352076177,India,other,Patna Fund Private Limited,patnafund.com,"Near Old Devi Mandir New Jaganpura, Kankarbagh, Patna, Bihar","785- NEAR OLD DEVI MANDIR NEW JAGANPURA, KANKARBAGH, PATNA, Bihar"
S1-311670757,S2-441278448,India,address_only_linkage,Urban Investment Private Limited,अर्बन इन्वेस्टमेंट प्राइवेट लिमिटेड,"Indra Park Uttam Nagar, New Delhi, West Delhi, Rz-29, Delhi","RZ-29, NEW DELHI, WEST DELHI, Delhi"
S1-328919213,S2-99782530,US,numeric_address_formatting,Business Defense Global LLC,Business Global LLC Services,"5611 Clingmans Dome Road, Cherokee, NC","5611B CLINGMANS DOME RD, CHEROKEE, NC"
S1-314345585,S2-355993673,India,address_only_linkage,Jain Properties Pvt Ltd,जैन प्रॉपर्टीज प्रा. लि.,"C-310, Groma House, Plot No. 14-C, Sector 19, Opp. Dana Bund, Ar, Vashi, Navi Mumbai, Mumbai City, Maharashtra","C-310, null, NAVI MUMBAI, MUMBAI CITY, Maharashtra"
S1-17466892,S3-672679584,US,numeric_address_formatting,Western Preparatory Academy LLC,Western Preparatory,"720 Creek View Ct, Coralville, IA","719 Creek View Ct, Coralville, Iowa"
S1-186303990,S3-763627629,US,numeric_address_formatting,Education Association Inc.,Education Ássociation Inc.,"Unit #3, Tacoma, WA, 3402 M Street","340 M Street, Tacoma, Washington"
S1-290400259,S2-323345579,US,address_only_linkage,Raza Xsolla Inc,razaxsolla.com,"155 Circle Drive, Huntington, IN","HUNTINGTON, 155 1/2 CIRCLE DRIVE, IN"
S1-112379136,S3-740377699,US,numeric_address_formatting,Summit Center,Summit Center District,"4720 Belford Road, Fayetteville, NC","Belford Rd, Fayetteville Township, North Carolina"
S1-173201956,S3-949057383,US,address_only_linkage,Surgical Pacific Specialists LLC,pssurgical.com,"64 Michael Avenue, East Hartford, CT","0064 Michael Ave, East Hartford, Connecticut"
S1-242335626,S2-139639047,India,address_only_linkage,Best Lakshmi Constructions,बेस्ट लक्ष्मी कंस्ट्रक्शंस,"C-15/31, Mahalaxmi Chambers, Near S. T. Stand, Kolhapur, Maharashtra","C-15/31, MAHALAXMI CHAMBERS, NEAR S. T. STAND, KOLHAPUR, महाराष्ट्र"
S1-169280240,S3-551259995,India,other,Prime Media Pvt Ltd,Prime Maiedia Pvt Ltd,"Vill. Gopinathbati, Gonna Dwariapur, Bardhaman, West Bengal","Purba Bardhaman, Vill. Gopinathbati, WB, Gonna Dwariapur"
S1-323808444,S3-896716886,US,numeric_address_formatting,"Magana, Jones and Person Liquor PC","Magana, Jones and Person Liquor","41 Hadley Street, South Hadley, MA","S Hadley, 41B Hadley St, Massachusetts"
S1-183448499,S3-373722624,India,numeric_address_formatting,Progreen Info Pvt. Ltd.,Pr0green Info-Pvt.,"Delhi, Dda Flats Jhilmil Colony, Jhilmil East, 216B, East Delhi","No. 130 216B, Delhi, DL, East Delhi, Dda Flats Jhilmil Colony, Jhilmil East"
S1-188128171,S3-150230360,India,other,Arion Impex Pvt Ltd,Mr Arion Impex Pvt Limited,"C/O Tighle Engineering Industries, Midc Area, Latur, Maharashtra","C/o Tighle Engineering Industries, Midc Area, महाराष्ट्र"
S1-146580949,S2-751077112,US,address_only_linkage,Valley Golden LLC,valleygolden.com,"12048 Rathskeller Drive, La Coste, TX","12048 RATHSKELLER DR, PMB 4567, LA COSTE, TX"
S1-131749304,S2-23830462,India,numeric_address_formatting,Laxmi Food Private Limited,लक्ष्मी Food Private Limited,"C-346, Ground Floor Office, Palam Extn, Sector-7, Dwarka, New Delhi, South West Delhi, Delhi","C-34, SOUTH WEST DELHI, DWARKA NEW DELHI, दिल्ली"
S1-200341830,S2-405203916,India,address_only_linkage,Hyderabad Heavy Private Limited,CÍRAMIRA,"8-2-293/2/82/L/83/A, 4Th Floor, 83/A, Mla Colony Road No.12, Banjara Hills, Hyderabad, Telangana","8-2-293/2/82/L/83/A, HYDERABAD, Telangana"
S1-223473124,S3-546112626,US,numeric_address_formatting,Asset Building Institute,Asset Building,"533 Northend Drive, Schenectady, NY","Northend Dr, Schenectady, New York"
S1-212160933,S3-710657524,India,address_only_linkage,Hari Care Limited,Haricare.Com,"Kala Bhavan, Office No.5, 3, Mathew Road, Mumbai, Maharashtra","Kala Bhavan, Office No.5, 3, Mathew Road, Mumbai, MH"
S1-133498418,S2-584638478,India,address_only_linkage,Jain Consultancy Pvt Ltd,जैन कंसल्टेंसी प्रा. लि.,"154, Shamaldas Gandhi, Marg, Princess Street, Mumbai, Maharashtra","154, SHAMALDAS GANDHI, MARG, PRINCESS STREET, MUMBAI, Maharashtra"
S1-303333748,S2-692669422,India,address_only_linkage,Consulting Jaipur Constructions Limited,consultingjaipurconstructions.com,"52/1/2, Floor-Grd, Kokari Agar, Shaikh Misree Road Vardhraj Nagar Antop Hill, Mumbai, Mumbai City, Maharashtra","52/1/2-, FLOOR-GRD, KOKARI AGAR, SHAIKH MISREE ROAD VARDHRAJ NAGAR ANTOP HILL, MUMBAI, Maharashtra"
S1-168396990,S2-173339374,India,address_only_linkage,Gujarat Software Pvt Ltd,गुजरात सॉफ्टवेयर प्रा. लि.,"A - 42/6, Ground Floor, Pinnacle Tower, Sector-62, Noida, Gautam Buddha Nagar, Uttar Pradesh","#930 A - 42/6, NOIDA, GAUTAM BUDDHA NAGAR, Uttar Pradesh"
S1-169668059,S3-514135259,India,address_only_linkage,Lakeview Textiles Pvt Ltd,lakeviewtextiles.com,"357 Sector 5, Gurgoan, Gurgaon, Haryana","H.no B3/357 Sector 5, Gurgoan, Gurgaon, HR"
S1-293626167,S2-10943527,US,numeric_address_formatting,Bureau of Finance,BUREAU  OF,"3709 Groometown Road, Greensboro, NC","370 GROOMETOWN RD, GREENSBORO, NC"
S1-172857778,S2-152359124,US,numeric_address_formatting,Sandye Reeves Presidio L.L.C.,Sandye Reeves Presidio,"Show Low, AZ, 1861 Reel Way","REEL WAY, <NULL>, WHITE MOUNTAIN LAKE, AZ"
S1-23415640,S2-565855166,India,address_only_linkage,Krishna Food Private Limited,कृष्णा फूड प्राइवेट लिमिटेड,"New Delhi, 113, 3Rd Floor, Aggarwal Chamber-I Veer Sawarkar Block, Shakarpur, Delhi, Office No. 83","OFFICE NO. 83, NEW DELHI, DELHI, दिल्ली"
S1-110278411,S3-722034853,India,severe_name_variation,IH Techmark Private Limited,IH Private Limited Service,"C/O Prashant Singh, Sai Dutta Road, Lucknow, Uttar Pradesh","Lucknow, C/o Prashant Singh, UP"
S1-158503808,S2-23963522,India,address_only_linkage,Bio Shapes Limited,Kelocalo,"602, Sector 84, Antriksh Heights, Tower-Ai, Narsinghpur, Gurgaon, Haryana","602, NARSINGHPUR, GURGAON, Haryana"
S1-328033342,S3-489619291,India,severe_name_variation,Sidhidatri Brothers Private Limited,Sbprivate.Com,"Hanuman Street, Daga Bazar, Jodhpur, Rajasthan","Hanuman Street, Jodhpur, राजस्थान"
S1-145038030,S2-721857601,India,address_only_linkage,Vijay Construction Private Limited,विजय कंस्ट्रक्शन प्राइवेट लिमिटेड,"288, Vikas Kunj Vikas Puri, Delhi, New Delhi, Delhi","288, VIKAS KUNJ VIKAS PURI, DELHI, NEW DELHI, Delhi"
S1-284865332,S3-896525716,India,address_only_linkage,Solutions Marvel Logistics Private Limited,Dovaonyx One,"R No 12 Shri Ram Samarth, Krupa Ch No 1 Oppshri, Kalyan, Thane, Maharashtra","Maharashtra, Thane, Kalyan, R No 12 Shri Ram Samarth, Krupa Ch No 1 Oppshri"
S1-105472965,S3-486015682,India,address_only_linkage,Rox Producer Private Limited,Mr roxproducer.com,"160-A, Ground Floor, Cariappa Marg, Khirki Extn. Colony, New Delhi, South Delhi, Delhi","दिल्ली, Ground Floor, Cariappa Marg, Khirki Extn. Colony, New Delhi, 160-A, South Delhi"
S1-240897048,S3-977821097,India,numeric_address_formatting,HXJ Planners Private Limited,HXJ Planners Prívate,"Plot No. 754, Sa Society, Khanamet, Shaikpet, Hyderabad, Telangana","Shaikpet, TG, Door No 54, Hyderabad"
S1-153495462,S2-973174801,US,address_only_linkage,Clark & Alomar Partners,Zetavera,"4350 Charter Oak Road, Phoenix, AZ","4350 CHARTER OAK ROAD, GLENADLE, AZ"
S1-300532680,S2-108148756,US,address_only_linkage,Studio 85 Ice Cream,studio85icecom,"23459 United States Highway 97, Unit SPC, Orondo, WA","23459- UNITED STATES HIGHWAY 97, PMB 8860, ORONDO CDP, WA"
S1-194896611,S2-634933619,India,address_only_linkage,Zenith Consultants,consultantszenith.com,"304 Centre Point Bldg18Th & 20Th Rd Corner Chembur, Mumbai, Maharashtra","304 CENTRE POINT BLDG18TH & 20TH RD CORNER CHEMBUR, MUMBAI, Maharashtra"
S1-255975796,S3-628525670,India,address_only_linkage,Ramrajya Charitable Trust Company,Mr Rctrust.Com,"Aurangabad, H. No. 1809 Near Jaiprakash Auto Service Phulambri Tq. Phulambri, Maharashtra, Aurangabad","Door No G-1809 Near Jaiprakash Auto Service Phulambri Tq. Phulambri, Jalna, Aurangabad, MH"
S1-190428613,S3-67896847,India,numeric_address_formatting,Om Care Private Limited,Om Prívate-Limited Partners,"Chirag Apartment, Flat 2K, 2Nd Floor, 2Nd Block, 4, Italgacha Road, Kolkata, Kolkata, Howrah, West Bengal","Chirag Apartment, Kolkata, WB"
S1-13991715,S3-548733745,US,other,W+ Premium Corporation,W+ Prémium Corp,"19 Stravinsky Avenue, Middletown, DE","Middletown, Delaware, <NULL>, 19-21 Stravinsky Avenue"
S1-237674596,S2-120045923,US,address_only_linkage,Maldonado & Hernandez PC,maldonadohernandez.com,"305 Meadow Street, Nixa, MO","305 MEADOW ST, NIXA, MO"
S1-110504289,S3-633375083,India,severe_name_variation,Sree Media Private Limited,श्री मीडिया प्राइवेट लिमिटेड,"Molahu Siddiqui S/O Mr. Lal Bahadur Sonauli, Maharajganj, Uttar Pradesh","Molahu Siddiqui S/o Mr. Lal Bahadur Sonauli, Maharajganj, UP"
S1-311568337,S2-388969824,India,numeric_address_formatting,Megaa Constructions Private Limited,Megaa Constructions Private Límited,"701, Le Orchidchs Ltd., Opp Khar Gymkhana 15Th Road, Khar (West), Mumbai, Mumbai City, Maharashtra","01, LE ORCHIDCHS LTD., OPP KHAR GYMKHANA 15TH ROAD, KHAR (WEST), MUMBAI, Maharashtra"
S1-132232892,S3-412297748,India,missing_address,Bhuvi & Co,M/s Bhuvi + Co.,"B 36/999 Navi Peth Phatk Baug Colony, Pune, Maharashtra",
S1-157832752,S2-133291026,India,address_only_linkage,Relogistics Technology Private Limited,Shri #relogisticstechnology,"Chetan Sitaram Sno 680/5A/1 Flno 504 Parvati Heights Landewadi Bhosari, Pune, Maharashtra","CHETAN SITARAM SNO 680/5A/1 FLNO 504 PARVATI HEIGHTS LANDEWADI BHOSARI, PUNE, Maharashtra"
S1-215126279,S3-303465141,India,other,Precious Consultants Private Limited,Drexriza One F/K/A Precious Consultants Private Limited,"Umaria, Walk In Woods Resort, Village Bijahariya Tahasil Manpur, Madhya Pradesh","Walk In Woods Resort, Village Bijahariya Tahasil Manpur, Umaria, Madhya Pradesh"
S1-165594795,S3-531709461,US,address_only_linkage,Anni's Custom Specialists,Anniscustomspecialistscom,"11600 700, Upland, IN","Upland, PMB 6083, ##11600 700, Indiana"
S1-283499921,S2-431739493,India,address_only_linkage,Pioneer Ventures Private Limited,పయనీర్ వెంచర్స్ ప్రైవేట్ లిమిటెడ్,"H.No.3-71/Nr Plot No. - 71, Kavuri Hills - Ii, Madhap, Ur, Hyderabad, Telangana","H.NO.3-71/NR PLOT NO. - 71, Andhra Pradesh, KAVURI HILLS - II, MADHAP, UR, HYDERABAD"
S1-19928143,S2-798772992,India,address_only_linkage,Unique Business Private Limited,यूनिक बिजनेस प्राइवेट लिमिटेड,"Base No. B- 16, Basement, Marol Naka, Hind Saurashtra Ind. Estate, Andheri Eas, T, Mumbai, Maharashtra","BASE NO. B- 16, MUMBAI, महाराष्ट्र"
S1-213588989,S2-877540421,India,severe_name_variation,Ss International Ltd,Smt SS INTEGBRNATIONAL  LTD,"D-38, 2Nd Floor, Phase-1, Vivek Vihar, Delhi, East Delhi, Delhi","D-38., 2ND FLOOR, PHASE-1, VIVEK VIHAR, DELHI, Delhi"
S1-195854006,S3-789677954,India,other,Ecom Constructions (India) Limited,Ecom Cotsuctions (India) Limited,"C/O Bipad Bhanjan Das, Vill-Harirampur, Harirampur, South Dinajpur, West Bengal","C/o Bipad Bhanjan Das, Vill-harirampur, South Dinajpur, Harirampur, WB"
S1-261851261,S3-353366601,India,address_only_linkage,Wg Industries Pvt Ltd,WI,"Unit No.546, 5Thfloor, IjmimaâImitation Jewellery Market Co-Op.Society Ltd, Off. Link Rd, Ma, Lad (West), Mumbai, Mumbai City, Maharashtra","Unit No.546, 5Thfloor, IjmimaâImitation Jewellery Market Co-Op.Society Ltd, Off. Link Rd, Ma, Lad (West), Mumbai, Mumbai City, Maharashtra"
S1-328331569,S2-189366933,India,address_only_linkage,Prime Investment Private Limited,പ്രൈം ഇൻവെസ്റ്റ്മെന്റ് പ്രൈവറ്റ് ലിമിറ്റഡ്,"2/812-A, Aroor Industrial Estate, Aroor, Alappuzha, Kerala","2/812, AROOR INDUSTRIAL ESTATE, AROOR, കേരളം"
S1-100378451,S3-124740926,India,address_only_linkage,All Management Private Limited,ഓൾ മാനേജ്മെന്റ് പ്രൈവറ്റ് ലിമിറ്റഡ്,"Room No 105 Surya Buildingwest Nada P O Guruvayur, Malappuram, Thrissur, Kerala","Room No 105- Surya Buildingwest Nada P O Guruvayur, Thrissur, Malappuram, KL"
S1-116216109,S2-711043943,India,severe_name_variation,One Engineering Pvt Ltd,वन इंजीनियरिंग प्रा. लि.,"Bursu Walo Ki Haweli, Oswali Mohalla, Kishangarh, Ajmer, Rajasthan","BURSU WALO KI HAWELI, KISHANGARH, AJMER, Rajasthan"
S1-154891225,S2-425671224,India,address_only_linkage,Krishna Builders Limited,ಕೃಷ್ಣ ಬಿಲ್ಡರ್ಸ್ ಲಿಮಿಟೆಡ್,"Flat No 4, Linea Apartment No 19, Sy No 103/2, Horamavu Agara Village, Bangalore, Karnataka","H.NO 04, LINEA APARTMENT NO 19, SY NO 103/2, HORAMAVU AGARA VILLAGE, BANGALORE, ಕರ್ನಾಟಕ"
S1-128134992,S3-989466161,India,address_only_linkage,Vision Consulting Private Limited,ভিশন কনসাল্টিং প্রাইভেট লিমিটেড,"73/6 Palm Avenue, Kolkata, Howrah, West Bengal","No 73/6 Palm Avenue, Kolkata, Howrah, WB"
S1-136692243,S2-674375653,US,abbreviation,Allied Entergy P.C.,alliedentergy.com,"501 Monroe Street, Austin, TX","601 MONROE ST, AUSTIN, TX"
S1-258785766,S2-167057833,US,numeric_address_formatting,Pais Apex Vertical Inc,Pais Ap Vertical Inc,"160 Berkshire Avenue, Springfield, MA","16 BERKSHIRE AVE, SPRINGFIELD, MA"
S1-295417600,S3-888099876,US,missing_address,Federal Reserve,Federal Federal Reserve,"NE, Douglas County, 7116 Northland Drive",
S1-145409112,S3-785547528,India,severe_name_variation,Shivam Systems Private Limited,शिवम सिस्टम्स प्राइवेट लिमिटेड,"Kaumudi Vijaynagar Colony, Pune, Maharashtra","Block C-702 Kaumudi Vijaynagar Colony, Pune, MH"
S1-256654327,S3-271839584,US,numeric_address_formatting,Safe Electronics Works,>> The Safe Electr0nics Works,"190 Beech Street, Holyoke, MA","90 Beech Street, PMB 4494, Holyokecdp, Massachusetts"
S1-186624149,S2-295355181,India,address_only_linkage,Masha Foundation,Dr Wexevo,"896/A, 5Th A Cross, 17Th E Main 6Th Block, Koramangala, Bangalore, Karnataka","896/A, 5TH A CROSS, 17TH E MAIN 6TH BLOCK, KORAMANGALA, BANGALORE, Karnataka"
S1-24685950,S2-299752061,US,other,M & S Electronics LLC,M & S,"3326 Shadowbriar Drive, Houston, TX","3326 SHADOWBRIAR DRIVE, HOUSTON, TX"
S1-166693716,S3-848657357,India,address_only_linkage,White One Estate Private Limited,ವೈಟ್ ಒನ್ ಎಸ್ಟೇಟ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"No.241, 12Th Block, 5Th Cross, 2Nd Stage, Nagarabhavi, Bangalore North, Bangalore, Karnataka","No.241, 12Th Block, 5Th Cross, 2Nd Stage, Nagarabhavi, Bangalore North, Bangalore, KA"
S1-293100593,S2-524510677,US,address_only_linkage,Wilmington Minerals,Dovaaria,"5 Meadowbrook Road, Wilmington, MA","5 MEADOWBROOK RD, WILMINGTON, MA"
